epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.3515625,1.8091585636138916,,
0,99,0.5390625,1.2486809492111206,,
0,149,0.75,0.8107237815856934,,
0,199,0.7578125,0.7657647132873535,,
0,249,0.75,0.7660618424415588,,
0,299,0.8046875,0.5350740551948547,,
0,349,0.8203125,0.5806843638420105,,
0,399,0.7421875,0.6938298940658569,,
0,421,,,0.9053333401679993,0.3495023548603058
1,449,0.734375,0.6625646352767944,,
1,499,0.78125,0.7940292358398438,,
1,549,0.859375,0.48833540081977844,,
1,599,0.796875,0.5185049176216125,,
1,649,0.875,0.4357060492038727,,
1,699,0.8671875,0.5523005723953247,,
1,749,0.859375,0.41888922452926636,,
1,799,0.8671875,0.4351344406604767,,
1,843,,,0.9333333373069763,0.24116192758083344
2,849,0.9140625,0.3752392828464508,,
2,899,0.890625,0.5388205647468567,,
2,949,0.90625,0.4582896828651428,,
2,999,0.8671875,0.45746415853500366,,
2,1049,0.8828125,0.6355818510055542,,
2,1099,0.8828125,0.5059417486190796,,
2,1149,0.875,0.40982958674430847,,
2,1199,0.8828125,0.3772045075893402,,
2,1249,0.859375,0.46444016695022583,,
2,1265,,,0.9441666603088379,0.20657706260681152
3,1299,0.8828125,0.32333099842071533,,
3,1349,0.9140625,0.49790406227111816,,
3,1399,0.890625,0.4647456705570221,,
3,1449,0.8828125,0.3689555823802948,,
3,1499,0.9296875,0.3384750485420227,,
3,1549,0.859375,0.412805438041687,,
3,1599,0.8671875,0.46780502796173096,,
3,1649,0.90625,0.3529057204723358,,
3,1687,,,0.9480000138282776,0.18435028195381165
4,1699,0.9453125,0.24539604783058167,,
4,1749,0.8984375,0.3339660167694092,,
4,1799,0.9375,0.2926887273788452,,
4,1849,0.9375,0.1966613531112671,,
4,1899,0.921875,0.21577224135398865,,
4,1949,0.9375,0.2418445646762848,,
4,1999,0.9296875,0.4803627133369446,,
4,2049,0.9140625,0.3242380917072296,,
4,2099,0.9453125,0.256057471036911,,
4,2109,,,0.9545000195503235,0.16640041768550873
5,2149,0.890625,0.3797047436237335,,
5,2199,0.921875,0.2998683750629425,,
5,2249,0.9296875,0.2899216413497925,,
5,2299,0.9140625,0.3318643867969513,,
5,2349,0.9453125,0.2270442098379135,,
5,2399,0.9609375,0.18065494298934937,,
5,2449,0.8984375,0.4369685649871826,,
5,2499,0.8984375,0.3390834927558899,,
5,2531,,,0.9566666483879089,0.16018325090408325
