epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.59375,1.2265254259109497,,
0,99,0.703125,0.7963138818740845,,
0,149,0.8671875,0.495700478553772,,
0,199,0.875,0.3725244700908661,,
0,249,0.8515625,0.39362579584121704,,
0,299,0.90625,0.32470378279685974,,
0,349,0.90625,0.3468330502510071,,
0,399,0.890625,0.4640931785106659,,
0,421,,,0.9668333530426025,0.1152128279209137
1,449,0.890625,0.255845844745636,,
1,499,0.8828125,0.27149343490600586,,
1,549,0.921875,0.31176871061325073,,
1,599,0.921875,0.2430538833141327,,
1,649,0.90625,0.273522287607193,,
1,699,0.9140625,0.2969129979610443,,
1,749,0.890625,0.27622032165527344,,
1,799,0.96875,0.17007386684417725,,
1,843,,,0.9754999876022339,0.07828784734010696
2,849,0.953125,0.17744071781635284,,
2,899,0.890625,0.28356266021728516,,
2,949,0.875,0.3636850416660309,,
2,999,0.921875,0.28152135014533997,,
2,1049,0.9375,0.187750905752182,,
2,1099,0.96875,0.13265246152877808,,
2,1149,0.9453125,0.18929935991764069,,
2,1199,0.90625,0.3082832992076874,,
2,1249,0.9296875,0.19655641913414001,,
2,1265,,,0.9768333435058594,0.07100039720535278
3,1299,0.953125,0.1589541733264923,,
3,1349,0.9296875,0.18129862844944,,
3,1399,0.9453125,0.19108469784259796,,
3,1449,0.9453125,0.13056500256061554,,
3,1499,0.9296875,0.1512008011341095,,
3,1549,0.9375,0.17893311381340027,,
3,1599,0.921875,0.32192462682724,,
3,1649,0.9296875,0.2609047293663025,,
3,1687,,,0.9836666584014893,0.056758396327495575
4,1699,0.9296875,0.13387683033943176,,
4,1749,0.96875,0.15411582589149475,,
4,1799,0.9453125,0.24827052652835846,,
4,1849,0.953125,0.15039870142936707,,
4,1899,0.9453125,0.21917222440242767,,
4,1949,0.953125,0.1532614827156067,,
