epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.5625,1.3542810678482056,,
0,99,,,0.6875,0.8831201195716858,,
0,149,,,0.8359375,0.7157521843910217,,
0,199,,,0.7265625,0.6636781096458435,,
0,249,,,0.8125,0.5505607724189758,,
0,299,,,0.8203125,0.4521729052066803,,
0,349,,,0.8359375,0.5153647065162659,,
0,399,,,0.8984375,0.3860706388950348,,
0,421,,,,,0.9571666717529297,0.15636005997657776
1,449,,,0.8515625,0.426958292722702,,
1,499,,,0.859375,0.4541926980018616,,
1,549,,,0.8359375,0.5034799575805664,,
1,599,,,0.8359375,0.3651324510574341,,
1,649,,,0.8671875,0.3850041925907135,,
1,699,,,0.8359375,0.5095900893211365,,
1,749,,,0.8359375,0.471027672290802,,
1,799,,,0.859375,0.46196675300598145,,
1,843,,,,,0.9714999794960022,0.09183722734451294
2,849,,,0.859375,0.38858604431152344,,
2,899,,,0.859375,0.34873753786087036,,
2,949,,,0.890625,0.3791894018650055,,
2,999,,,0.890625,0.27537715435028076,,
2,1049,,,0.8984375,0.30599725246429443,,
2,1099,,,0.8984375,0.31763142347335815,,
2,1149,,,0.921875,0.19635803997516632,,
2,1199,,,0.8828125,0.25971177220344543,,
2,1249,,,0.8828125,0.39649128913879395,,
2,1265,,,,,0.9769999980926514,0.08031728863716125
3,1299,,,0.890625,0.3023361265659332,,
3,1349,,,0.890625,0.3421926498413086,,
3,1399,,,0.890625,0.3390028774738312,,
3,1449,,,0.921875,0.221152201294899,,
3,1499,,,0.9140625,0.24604834616184235,,
3,1549,,,0.90625,0.2485012412071228,,
3,1599,,,0.9296875,0.1962117999792099,,
3,1649,,,0.890625,0.28793269395828247,,
3,1687,,,,,0.9786666631698608,0.07192915678024292
4,1699,,,0.890625,0.3420872986316681,,
4,1749,,,0.953125,0.19588197767734528,,
4,1799,,,0.90625,0.33074164390563965,,
4,1849,,,0.890625,0.37338095903396606,,
4,1899,,,0.890625,0.39056485891342163,,
4,1949,,,0.875,0.3427530527114868,,
4,1999,,,0.921875,0.21562440693378448,,
4,2049,,,0.9296875,0.24517349898815155,,
4,2099,,,0.90625,0.23303501307964325,,
4,2109,,,,,0.9825000166893005,0.06303941458463669
5,2149,,,0.9296875,0.311234712600708,,
5,2199,,,0.921875,0.18893788754940033,,
5,2249,,,0.9140625,0.2346116006374359,,
5,2299,,,0.90625,0.2539767920970917,,
5,2349,,,0.9140625,0.17630535364151,,
5,2399,,,0.9296875,0.21517257392406464,,
5,2449,,,0.921875,0.22270411252975464,,
5,2499,,,0.9140625,0.22683201730251312,,
5,2531,,,,,0.9833333492279053,0.058067869395017624
6,2549,,,0.9453125,0.2109060436487198,,
6,2599,,,0.9140625,0.1824972778558731,,
6,2649,,,0.90625,0.3201724588871002,,
6,2699,,,0.9140625,0.2400229275226593,,
6,2749,,,0.921875,0.24502114951610565,,
6,2799,,,0.921875,0.17134183645248413,,
6,2849,,,0.8984375,0.22441060841083527,,
6,2899,,,0.9140625,0.1867184191942215,,
6,2949,,,0.8828125,0.31110379099845886,,
6,2953,,,,,0.984333336353302,0.05697574466466904
7,2999,,,0.9140625,0.2141161561012268,,
7,3049,,,0.90625,0.29608550667762756,,
7,3099,,,0.8828125,0.2746174931526184,,
7,3149,,,0.9140625,0.20250195264816284,,
7,3199,,,0.9453125,0.1259324699640274,,
7,3249,,,0.9375,0.14391395449638367,,
7,3299,,,0.921875,0.21207521855831146,,
7,3349,,,0.9296875,0.1640123724937439,,
7,3375,,,,,0.9838333129882812,0.05556485429406166
8,3399,,,0.9296875,0.2830173671245575,,
8,3449,,,0.921875,0.16049012541770935,,
8,3499,,,0.9140625,0.2290060818195343,,
8,3549,,,0.9453125,0.15163291990756989,,
8,3599,,,0.9765625,0.11682421714067459,,
8,3649,,,0.9375,0.17291854321956635,,
8,3699,,,0.9140625,0.23411649465560913,,
8,3749,,,0.9609375,0.13056017458438873,,
8,3797,,,,,0.984333336353302,0.05556229501962662
9,3799,,,0.9296875,0.18283621966838837,,
9,3849,,,0.96875,0.09794136136770248,,
9,3899,,,0.953125,0.14056164026260376,,
9,3949,,,0.9375,0.14919599890708923,,
9,3999,,,0.8984375,0.30132442712783813,,
9,4049,,,0.96875,0.18512976169586182,,
9,4099,,,0.9140625,0.1890908032655716,,
9,4149,,,0.9765625,0.14103861153125763,,
9,4199,,,0.9609375,0.14268215000629425,,
9,4219,,,,,0.9856666922569275,0.05491514131426811
10,4249,,,0.921875,0.17379291355609894,,
10,4299,,,0.9296875,0.27400845289230347,,
10,4349,,,0.9140625,0.24436727166175842,,
10,4399,,,0.9296875,0.1928991675376892,,
10,4449,,,0.9375,0.16894760727882385,,
10,4499,,,0.9140625,0.2479739934206009,,
10,4549,,,0.9375,0.28886139392852783,,
10,4599,,,0.9609375,0.13568145036697388,,
10,4641,,,,,0.9858333468437195,0.052950069308280945
11,4649,,,0.9609375,0.17940683662891388,,
11,4699,,,0.9375,0.1526341736316681,,
11,4749,,,0.890625,0.2691781222820282,,
11,4799,,,0.8828125,0.2969803214073181,,
11,4849,,,0.96875,0.14737147092819214,,
11,4899,,,0.8984375,0.26891738176345825,,
11,4949,,,0.9296875,0.22301141917705536,,
11,4999,,,0.9375,0.22419780492782593,,
11,5049,,,0.9453125,0.17459583282470703,,
11,5063,,,,,0.9853333234786987,0.05045732483267784
12,5099,,,0.9296875,0.227132186293602,,
12,5149,,,0.9453125,0.1981416791677475,,
12,5199,,,0.90625,0.1991921365261078,,
12,5249,,,0.9453125,0.13880892097949982,,
12,5299,,,0.9609375,0.17440271377563477,,
12,5349,,,0.8671875,0.2582801580429077,,
12,5399,,,0.9609375,0.17106540501117706,,
12,5449,,,0.9453125,0.15817181766033173,,
12,5485,,,,,0.9871666431427002,0.05017973855137825
13,5499,,,0.9296875,0.19331729412078857,,
13,5549,,,0.90625,0.21488922834396362,,
13,5599,,,0.9609375,0.14746902883052826,,
13,5649,,,0.9453125,0.12611061334609985,,
13,5699,,,0.953125,0.11777497828006744,,
13,5749,,,0.953125,0.11397884041070938,,
13,5799,,,0.9453125,0.14469528198242188,,
13,5849,,,0.9296875,0.16858722269535065,,
13,5899,,,0.90625,0.22712531685829163,,
13,5907,,,,,0.9878333210945129,0.04877538979053497
14,5949,,,0.953125,0.13207316398620605,,
14,5999,,,0.8828125,0.2605978548526764,,
14,6049,,,0.9609375,0.1315668225288391,,
14,6099,,,0.9375,0.21915563941001892,,
14,6149,,,0.921875,0.20240572094917297,,
14,6199,,,0.9453125,0.1371622532606125,,
14,6249,,,0.9140625,0.2154853790998459,,
14,6299,,,0.9453125,0.10272525250911713,,
14,6329,,,,,0.987666666507721,0.04622466489672661
15,6349,,,0.9453125,0.14490967988967896,,
15,6399,,,0.9453125,0.14560778439044952,,
15,6449,,,0.9609375,0.15290147066116333,,
15,6499,,,0.90625,0.22496674954891205,,
15,6549,,,0.921875,0.16088435053825378,,
15,6599,,,0.953125,0.15517055988311768,,
15,6649,,,0.921875,0.15594860911369324,,
