LD=64
Using: cuda
Epoch 1/400 | G_loss: 0.63157 | D_loss: 0.77759 | D_real_accuracy: 41.06445 | D_fake_accuracy: 7.32422
Epoch 2/400 | G_loss: 0.70454 | D_loss: 0.69866 | D_real_accuracy: 60.20508 | D_fake_accuracy: 28.07617
Epoch 3/400 | G_loss: 0.69457 | D_loss: 0.71299 | D_real_accuracy: 47.31445 | D_fake_accuracy: 32.91016
Epoch 4/400 | G_loss: 0.71009 | D_loss: 0.69768 | D_real_accuracy: 48.87695 | D_fake_accuracy: 41.89453
Epoch 5/400 | G_loss: 0.70257 | D_loss: 0.70037 | D_real_accuracy: 51.51367 | D_fake_accuracy: 45.60547
Epoch 6/400 | G_loss: 0.72081 | D_loss: 0.70012 | D_real_accuracy: 46.67969 | D_fake_accuracy: 65.82031
Epoch 7/400 | G_loss: 0.79149 | D_loss: 0.68300 | D_real_accuracy: 24.21875 | D_fake_accuracy: 87.93945
Epoch 8/400 | G_loss: 0.72786 | D_loss: 0.67755 | D_real_accuracy: 56.29883 | D_fake_accuracy: 74.95117
Epoch 9/400 | G_loss: 0.75090 | D_loss: 0.67188 | D_real_accuracy: 54.98047 | D_fake_accuracy: 86.08398
Epoch 10/400 | G_loss: 0.72834 | D_loss: 0.67640 | D_real_accuracy: 54.78516 | D_fake_accuracy: 72.46094
Epoch 11/400 | G_loss: 0.81009 | D_loss: 0.64880 | D_real_accuracy: 60.64453 | D_fake_accuracy: 100.00000
Epoch 12/400 | G_loss: 0.81291 | D_loss: 0.63601 | D_real_accuracy: 73.48633 | D_fake_accuracy: 100.00000
Epoch 13/400 | G_loss: 0.75520 | D_loss: 0.66073 | D_real_accuracy: 70.26367 | D_fake_accuracy: 92.18750
Epoch 14/400 | G_loss: 0.68365 | D_loss: 0.72181 | D_real_accuracy: 35.64453 | D_fake_accuracy: 42.87109
Epoch 15/400 | G_loss: 0.71143 | D_loss: 0.72645 | D_real_accuracy: 0.73242 | D_fake_accuracy: 63.57422
Epoch 16/400 | G_loss: 0.73058 | D_loss: 0.71490 | D_real_accuracy: 0.00000 | D_fake_accuracy: 100.00000
Epoch 17/400 | G_loss: 0.74347 | D_loss: 0.70468 | D_real_accuracy: 0.04883 | D_fake_accuracy: 100.00000
Epoch 18/400 | G_loss: 0.74731 | D_loss: 0.69731 | D_real_accuracy: 0.34180 | D_fake_accuracy: 100.00000
Epoch 19/400 | G_loss: 0.74438 | D_loss: 0.69213 | D_real_accuracy: 13.47656 | D_fake_accuracy: 100.00000
Epoch 20/400 | G_loss: 0.74024 | D_loss: 0.69045 | D_real_accuracy: 21.43555 | D_fake_accuracy: 92.67578
Epoch 21/400 | G_loss: 0.73227 | D_loss: 0.68831 | D_real_accuracy: 39.64844 | D_fake_accuracy: 94.14062
Epoch 22/400 | G_loss: 0.71960 | D_loss: 0.68754 | D_real_accuracy: 64.40430 | D_fake_accuracy: 57.95898
Epoch 23/400 | G_loss: 0.74219 | D_loss: 0.67656 | D_real_accuracy: 81.25000 | D_fake_accuracy: 37.98828
Epoch 24/400 | G_loss: 0.69682 | D_loss: 0.70199 | D_real_accuracy: 48.29102 | D_fake_accuracy: 47.31445
Epoch 25/400 | G_loss: 0.74910 | D_loss: 0.68311 | D_real_accuracy: 25.78125 | D_fake_accuracy: 100.00000
Epoch 26/400 | G_loss: 0.73204 | D_loss: 0.68718 | D_real_accuracy: 47.16797 | D_fake_accuracy: 73.73047
Epoch 27/400 | G_loss: 0.73497 | D_loss: 0.69134 | D_real_accuracy: 31.68945 | D_fake_accuracy: 73.87695
Epoch 28/400 | G_loss: 0.74206 | D_loss: 0.68369 | D_real_accuracy: 45.75195 | D_fake_accuracy: 92.57812
Epoch 29/400 | G_loss: 0.74244 | D_loss: 0.68848 | D_real_accuracy: 44.09180 | D_fake_accuracy: 59.52148
Epoch 30/400 | G_loss: 0.73806 | D_loss: 0.68014 | D_real_accuracy: 57.37305 | D_fake_accuracy: 76.61133
Epoch 31/400 | G_loss: 0.72934 | D_loss: 0.68252 | D_real_accuracy: 64.35547 | D_fake_accuracy: 76.70898
Epoch 32/400 | G_loss: 0.73644 | D_loss: 0.68029 | D_real_accuracy: 62.15820 | D_fake_accuracy: 50.00000
Epoch 33/400 | G_loss: 0.74339 | D_loss: 0.67413 | D_real_accuracy: 67.82227 | D_fake_accuracy: 79.68750
Epoch 34/400 | G_loss: 0.72604 | D_loss: 0.68353 | D_real_accuracy: 63.52539 | D_fake_accuracy: 70.16602
Epoch 35/400 | G_loss: 0.73626 | D_loss: 0.67750 | D_real_accuracy: 65.62500 | D_fake_accuracy: 68.89648
Epoch 36/400 | G_loss: 0.75361 | D_loss: 0.67722 | D_real_accuracy: 57.47070 | D_fake_accuracy: 70.41016
Epoch 37/400 | G_loss: 0.71155 | D_loss: 0.68977 | D_real_accuracy: 70.94727 | D_fake_accuracy: 39.06250
Epoch 38/400 | G_loss: 0.66552 | D_loss: 0.70744 | D_real_accuracy: 73.63281 | D_fake_accuracy: 12.93945
Epoch 39/400 | G_loss: 0.67320 | D_loss: 0.70572 | D_real_accuracy: 55.02930 | D_fake_accuracy: 12.20703
Epoch 40/400 | G_loss: 0.66863 | D_loss: 0.70306 | D_real_accuracy: 60.83984 | D_fake_accuracy: 4.39453
Epoch 41/400 | G_loss: 0.67349 | D_loss: 0.69894 | D_real_accuracy: 65.18555 | D_fake_accuracy: 9.86328
Epoch 42/400 | G_loss: 0.68297 | D_loss: 0.69709 | D_real_accuracy: 60.00977 | D_fake_accuracy: 13.57422
Epoch 43/400 | G_loss: 0.67433 | D_loss: 0.69523 | D_real_accuracy: 68.35938 | D_fake_accuracy: 8.05664
Epoch 44/400 | G_loss: 0.68944 | D_loss: 0.69277 | D_real_accuracy: 56.34766 | D_fake_accuracy: 32.86133
Epoch 45/400 | G_loss: 0.68607 | D_loss: 0.69292 | D_real_accuracy: 72.94922 | D_fake_accuracy: 13.28125
Epoch 46/400 | G_loss: 0.68523 | D_loss: 0.69417 | D_real_accuracy: 64.55078 | D_fake_accuracy: 25.92773
Epoch 47/400 | G_loss: 0.71928 | D_loss: 0.69690 | D_real_accuracy: 46.24023 | D_fake_accuracy: 48.63281
Epoch 48/400 | G_loss: 0.69294 | D_loss: 0.69577 | D_real_accuracy: 29.68750 | D_fake_accuracy: 31.59180
Epoch 49/400 | G_loss: 0.69730 | D_loss: 0.69499 | D_real_accuracy: 31.88477 | D_fake_accuracy: 50.97656
Epoch 50/400 | G_loss: 0.69268 | D_loss: 0.69780 | D_real_accuracy: 64.94141 | D_fake_accuracy: 20.55664
Epoch 51/400 | G_loss: 0.69763 | D_loss: 0.69841 | D_real_accuracy: 23.68164 | D_fake_accuracy: 46.48438
Epoch 52/400 | G_loss: 0.69426 | D_loss: 0.69567 | D_real_accuracy: 34.52148 | D_fake_accuracy: 27.63672
Epoch 53/400 | G_loss: 0.68455 | D_loss: 0.69688 | D_real_accuracy: 63.96484 | D_fake_accuracy: 15.57617
