LD=2
Using: cuda
Epoch 1/400 | G_loss: 0.58061 | D_loss: 0.81550 | D_real_accuracy: 67.52930 | D_fake_accuracy: 3.12500
Epoch 2/400 | G_loss: 0.67185 | D_loss: 0.70422 | D_real_accuracy: 79.58984 | D_fake_accuracy: 0.09766
Epoch 3/400 | G_loss: 0.67113 | D_loss: 0.70719 | D_real_accuracy: 59.22852 | D_fake_accuracy: 0.00000
Epoch 4/400 | G_loss: 0.69831 | D_loss: 0.69764 | D_real_accuracy: 48.63281 | D_fake_accuracy: 24.75586
Epoch 5/400 | G_loss: 0.72022 | D_loss: 0.69340 | D_real_accuracy: 33.10547 | D_fake_accuracy: 94.77539
Epoch 6/400 | G_loss: 0.70754 | D_loss: 0.68216 | D_real_accuracy: 62.69531 | D_fake_accuracy: 64.01367
Epoch 7/400 | G_loss: 0.72360 | D_loss: 0.66922 | D_real_accuracy: 69.77539 | D_fake_accuracy: 93.65234
Epoch 8/400 | G_loss: 0.73745 | D_loss: 0.66076 | D_real_accuracy: 77.14844 | D_fake_accuracy: 75.00000
Epoch 9/400 | G_loss: 0.82008 | D_loss: 0.66846 | D_real_accuracy: 33.88672 | D_fake_accuracy: 99.46289
Epoch 10/400 | G_loss: 0.82499 | D_loss: 0.65304 | D_real_accuracy: 56.39648 | D_fake_accuracy: 97.36328
Epoch 11/400 | G_loss: 0.70672 | D_loss: 0.69725 | D_real_accuracy: 47.99805 | D_fake_accuracy: 54.10156
Epoch 12/400 | G_loss: 0.66788 | D_loss: 0.72055 | D_real_accuracy: 24.95117 | D_fake_accuracy: 12.20703
Epoch 13/400 | G_loss: 0.69607 | D_loss: 0.70931 | D_real_accuracy: 7.22656 | D_fake_accuracy: 49.80469
Epoch 14/400 | G_loss: 0.70664 | D_loss: 0.70838 | D_real_accuracy: 0.04883 | D_fake_accuracy: 79.88281
Epoch 15/400 | G_loss: 0.71799 | D_loss: 0.69919 | D_real_accuracy: 10.20508 | D_fake_accuracy: 96.48438
Epoch 16/400 | G_loss: 0.71075 | D_loss: 0.69455 | D_real_accuracy: 30.41992 | D_fake_accuracy: 77.53906
Epoch 17/400 | G_loss: 0.70019 | D_loss: 0.69929 | D_real_accuracy: 16.40625 | D_fake_accuracy: 56.39648
Epoch 18/400 | G_loss: 0.69453 | D_loss: 0.69497 | D_real_accuracy: 47.94922 | D_fake_accuracy: 41.45508
Epoch 19/400 | G_loss: 0.69753 | D_loss: 0.69385 | D_real_accuracy: 53.27148 | D_fake_accuracy: 46.97266
Epoch 20/400 | G_loss: 0.68286 | D_loss: 0.69987 | D_real_accuracy: 52.34375 | D_fake_accuracy: 23.92578
Epoch 21/400 | G_loss: 0.69833 | D_loss: 0.68896 | D_real_accuracy: 58.78906 | D_fake_accuracy: 60.88867
Epoch 22/400 | G_loss: 0.69122 | D_loss: 0.69660 | D_real_accuracy: 55.95703 | D_fake_accuracy: 42.57812
Epoch 23/400 | G_loss: 0.69172 | D_loss: 0.69744 | D_real_accuracy: 38.76953 | D_fake_accuracy: 42.82227
Epoch 24/400 | G_loss: 0.69386 | D_loss: 0.69538 | D_real_accuracy: 39.25781 | D_fake_accuracy: 44.18945
Epoch 25/400 | G_loss: 0.69437 | D_loss: 0.69361 | D_real_accuracy: 46.28906 | D_fake_accuracy: 36.03516
Epoch 26/400 | G_loss: 0.69367 | D_loss: 0.69475 | D_real_accuracy: 41.55273 | D_fake_accuracy: 35.10742
Epoch 27/400 | G_loss: 0.69248 | D_loss: 0.69441 | D_real_accuracy: 47.85156 | D_fake_accuracy: 35.74219
Epoch 28/400 | G_loss: 0.68981 | D_loss: 0.69659 | D_real_accuracy: 53.17383 | D_fake_accuracy: 37.79297
Epoch 29/400 | G_loss: 0.69327 | D_loss: 0.69530 | D_real_accuracy: 38.91602 | D_fake_accuracy: 40.38086
Epoch 30/400 | G_loss: 0.69185 | D_loss: 0.69589 | D_real_accuracy: 37.54883 | D_fake_accuracy: 33.88672
Epoch 31/400 | G_loss: 0.69048 | D_loss: 0.69629 | D_real_accuracy: 47.16797 | D_fake_accuracy: 36.57227
Epoch 32/400 | G_loss: 0.69756 | D_loss: 0.69623 | D_real_accuracy: 28.71094 | D_fake_accuracy: 66.94336
Epoch 33/400 | G_loss: 0.69313 | D_loss: 0.69474 | D_real_accuracy: 49.80469 | D_fake_accuracy: 42.72461
Epoch 34/400 | G_loss: 0.69464 | D_loss: 0.69453 | D_real_accuracy: 34.27734 | D_fake_accuracy: 46.09375
Epoch 35/400 | G_loss: 0.69117 | D_loss: 0.69575 | D_real_accuracy: 53.80859 | D_fake_accuracy: 28.51562
Epoch 36/400 | G_loss: 0.69230 | D_loss: 0.69550 | D_real_accuracy: 50.78125 | D_fake_accuracy: 47.80273
Epoch 37/400 | G_loss: 0.69527 | D_loss: 0.69596 | D_real_accuracy: 36.23047 | D_fake_accuracy: 58.54492
Epoch 38/400 | G_loss: 0.69531 | D_loss: 0.69477 | D_real_accuracy: 41.16211 | D_fake_accuracy: 46.33789
Epoch 39/400 | G_loss: 0.69503 | D_loss: 0.69565 | D_real_accuracy: 41.45508 | D_fake_accuracy: 54.10156
Epoch 40/400 | G_loss: 0.69699 | D_loss: 0.69466 | D_real_accuracy: 35.64453 | D_fake_accuracy: 51.26953
Epoch 41/400 | G_loss: 0.69399 | D_loss: 0.69610 | D_real_accuracy: 40.13672 | D_fake_accuracy: 50.83008
Epoch 42/400 | G_loss: 0.69480 | D_loss: 0.69455 | D_real_accuracy: 42.52930 | D_fake_accuracy: 52.88086
Epoch 43/400 | G_loss: 0.69559 | D_loss: 0.69484 | D_real_accuracy: 38.52539 | D_fake_accuracy: 58.34961
Epoch 44/400 | G_loss: 0.69661 | D_loss: 0.69415 | D_real_accuracy: 47.31445 | D_fake_accuracy: 49.80469
Epoch 45/400 | G_loss: 0.69712 | D_loss: 0.69343 | D_real_accuracy: 42.77344 | D_fake_accuracy: 44.72656
Epoch 46/400 | G_loss: 0.69364 | D_loss: 0.69426 | D_real_accuracy: 56.78711 | D_fake_accuracy: 39.01367
Epoch 47/400 | G_loss: 0.69721 | D_loss: 0.69434 | D_real_accuracy: 38.23242 | D_fake_accuracy: 44.43359
Epoch 48/400 | G_loss: 0.69669 | D_loss: 0.69370 | D_real_accuracy: 44.43359 | D_fake_accuracy: 54.00391
Epoch 49/400 | G_loss: 0.69664 | D_loss: 0.69403 | D_real_accuracy: 40.28320 | D_fake_accuracy: 59.27734
Epoch 50/400 | G_loss: 0.69139 | D_loss: 0.69383 | D_real_accuracy: 58.74023 | D_fake_accuracy: 30.51758
Epoch 51/400 | G_loss: 0.69984 | D_loss: 0.69386 | D_real_accuracy: 34.81445 | D_fake_accuracy: 57.32422
Epoch 52/400 | G_loss: 0.69700 | D_loss: 0.69380 | D_real_accuracy: 52.05078 | D_fake_accuracy: 49.46289
Epoch 53/400 | G_loss: 0.69514 | D_loss: 0.69471 | D_real_accuracy: 49.41406 | D_fake_accuracy: 43.55469
Epoch 54/400 | G_loss: 0.69890 | D_loss: 0.69373 | D_real_accuracy: 43.50586 | D_fake_accuracy: 57.86133
Epoch 55/400 | G_loss: 0.70032 | D_loss: 0.69238 | D_real_accuracy: 45.80078 | D_fake_accuracy: 56.15234
Epoch 56/400 | G_loss: 0.69451 | D_loss: 0.69439 | D_real_accuracy: 51.07422 | D_fake_accuracy: 52.09961
Epoch 57/400 | G_loss: 0.69376 | D_loss: 0.69374 | D_real_accuracy: 52.83203 | D_fake_accuracy: 46.77734
Epoch 58/400 | G_loss: 0.69813 | D_loss: 0.69282 | D_real_accuracy: 53.61328 | D_fake_accuracy: 54.49219
Epoch 59/400 | G_loss: 0.70319 | D_loss: 0.69212 | D_real_accuracy: 36.52344 | D_fake_accuracy: 60.35156
Epoch 60/400 | G_loss: 0.69358 | D_loss: 0.69357 | D_real_accuracy: 49.41406 | D_fake_accuracy: 51.26953
Epoch 61/400 | G_loss: 0.70640 | D_loss: 0.69274 | D_real_accuracy: 28.41797 | D_fake_accuracy: 68.01758
Epoch 62/400 | G_loss: 0.69093 | D_loss: 0.69533 | D_real_accuracy: 62.06055 | D_fake_accuracy: 28.36914
Epoch 63/400 | G_loss: 0.69544 | D_loss: 0.69366 | D_real_accuracy: 48.38867 | D_fake_accuracy: 55.51758
Epoch 64/400 | G_loss: 0.70963 | D_loss: 0.68977 | D_real_accuracy: 19.23828 | D_fake_accuracy: 85.64453
Epoch 65/400 | G_loss: 0.69023 | D_loss: 0.69493 | D_real_accuracy: 63.42773 | D_fake_accuracy: 27.14844
Epoch 66/400 | G_loss: 0.69706 | D_loss: 0.69172 | D_real_accuracy: 47.07031 | D_fake_accuracy: 52.73438
Epoch 67/400 | G_loss: 0.69809 | D_loss: 0.69237 | D_real_accuracy: 51.85547 | D_fake_accuracy: 41.94336
Epoch 68/400 | G_loss: 0.69674 | D_loss: 0.69280 | D_real_accuracy: 54.54102 | D_fake_accuracy: 56.44531
Epoch 69/400 | G_loss: 0.70030 | D_loss: 0.69214 | D_real_accuracy: 40.23438 | D_fake_accuracy: 64.45312
Epoch 70/400 | G_loss: 0.70251 | D_loss: 0.69322 | D_real_accuracy: 33.78906 | D_fake_accuracy: 57.27539
Epoch 71/400 | G_loss: 0.69366 | D_loss: 0.69379 | D_real_accuracy: 54.93164 | D_fake_accuracy: 41.35742
Epoch 72/400 | G_loss: 0.70340 | D_loss: 0.68983 | D_real_accuracy: 46.38672 | D_fake_accuracy: 63.03711
Epoch 73/400 | G_loss: 0.69578 | D_loss: 0.69423 | D_real_accuracy: 49.46289 | D_fake_accuracy: 48.09570
Epoch 74/400 | G_loss: 0.69721 | D_loss: 0.69184 | D_real_accuracy: 46.53320 | D_fake_accuracy: 47.46094
Epoch 75/400 | G_loss: 0.69673 | D_loss: 0.69444 | D_real_accuracy: 31.59180 | D_fake_accuracy: 53.36914
Epoch 76/400 | G_loss: 0.71317 | D_loss: 0.68962 | D_real_accuracy: 41.50391 | D_fake_accuracy: 69.48242
Epoch 77/400 | G_loss: 0.68450 | D_loss: 0.69537 | D_real_accuracy: 75.53711 | D_fake_accuracy: 18.79883
Epoch 78/400 | G_loss: 0.70379 | D_loss: 0.69112 | D_real_accuracy: 28.17383 | D_fake_accuracy: 78.85742
Epoch 79/400 | G_loss: 0.69538 | D_loss: 0.69290 | D_real_accuracy: 54.58984 | D_fake_accuracy: 40.96680
Epoch 80/400 | G_loss: 0.69880 | D_loss: 0.69196 | D_real_accuracy: 48.38867 | D_fake_accuracy: 57.56836
Epoch 81/400 | G_loss: 0.70487 | D_loss: 0.69220 | D_real_accuracy: 40.47852 | D_fake_accuracy: 61.27930
Epoch 82/400 | G_loss: 0.69322 | D_loss: 0.69110 | D_real_accuracy: 67.57812 | D_fake_accuracy: 39.20898
Epoch 83/400 | G_loss: 0.69661 | D_loss: 0.69138 | D_real_accuracy: 51.36719 | D_fake_accuracy: 52.97852
Epoch 84/400 | G_loss: 0.70260 | D_loss: 0.68964 | D_real_accuracy: 47.07031 | D_fake_accuracy: 54.78516
Epoch 85/400 | G_loss: 0.70028 | D_loss: 0.69312 | D_real_accuracy: 42.38281 | D_fake_accuracy: 56.25000
Epoch 86/400 | G_loss: 0.69761 | D_loss: 0.69230 | D_real_accuracy: 50.63477 | D_fake_accuracy: 47.75391
Epoch 87/400 | G_loss: 0.70187 | D_loss: 0.69091 | D_real_accuracy: 42.96875 | D_fake_accuracy: 51.46484
Epoch 88/400 | G_loss: 0.70127 | D_loss: 0.69369 | D_real_accuracy: 36.76758 | D_fake_accuracy: 61.37695
Epoch 89/400 | G_loss: 0.70177 | D_loss: 0.69156 | D_real_accuracy: 49.51172 | D_fake_accuracy: 64.89258
Epoch 90/400 | G_loss: 0.69631 | D_loss: 0.69155 | D_real_accuracy: 62.25586 | D_fake_accuracy: 32.91016
Epoch 91/400 | G_loss: 0.70984 | D_loss: 0.68878 | D_real_accuracy: 47.65625 | D_fake_accuracy: 56.88477
Epoch 92/400 | G_loss: 0.69995 | D_loss: 0.69123 | D_real_accuracy: 56.93359 | D_fake_accuracy: 50.73242
Epoch 93/400 | G_loss: 0.70024 | D_loss: 0.68944 | D_real_accuracy: 65.96680 | D_fake_accuracy: 50.19531
Epoch 94/400 | G_loss: 0.70058 | D_loss: 0.68999 | D_real_accuracy: 46.28906 | D_fake_accuracy: 45.06836
Epoch 95/400 | G_loss: 0.70337 | D_loss: 0.69107 | D_real_accuracy: 53.07617 | D_fake_accuracy: 50.39062
Epoch 96/400 | G_loss: 0.69769 | D_loss: 0.69198 | D_real_accuracy: 57.12891 | D_fake_accuracy: 41.11328
Epoch 97/400 | G_loss: 0.72051 | D_loss: 0.68521 | D_real_accuracy: 41.21094 | D_fake_accuracy: 72.80273
Epoch 98/400 | G_loss: 0.69580 | D_loss: 0.69302 | D_real_accuracy: 50.48828 | D_fake_accuracy: 54.49219
Epoch 99/400 | G_loss: 0.70780 | D_loss: 0.68791 | D_real_accuracy: 59.57031 | D_fake_accuracy: 50.78125
Epoch 100/400 | G_loss: 0.70749 | D_loss: 0.68902 | D_real_accuracy: 53.90625 | D_fake_accuracy: 56.73828
Epoch 101/400 | G_loss: 0.70214 | D_loss: 0.68619 | D_real_accuracy: 75.53711 | D_fake_accuracy: 52.29492
Epoch 102/400 | G_loss: 0.70418 | D_loss: 0.68884 | D_real_accuracy: 57.51953 | D_fake_accuracy: 47.02148
Epoch 103/400 | G_loss: 0.72753 | D_loss: 0.68736 | D_real_accuracy: 40.62500 | D_fake_accuracy: 83.20312
Epoch 104/400 | G_loss: 0.70306 | D_loss: 0.68706 | D_real_accuracy: 74.95117 | D_fake_accuracy: 42.23633
Epoch 105/400 | G_loss: 0.71380 | D_loss: 0.68606 | D_real_accuracy: 51.31836 | D_fake_accuracy: 66.16211
Epoch 106/400 | G_loss: 0.71802 | D_loss: 0.68249 | D_real_accuracy: 65.38086 | D_fake_accuracy: 67.04102
Epoch 107/400 | G_loss: 0.72174 | D_loss: 0.68838 | D_real_accuracy: 45.11719 | D_fake_accuracy: 52.53906
Epoch 108/400 | G_loss: 0.72565 | D_loss: 0.68089 | D_real_accuracy: 59.61914 | D_fake_accuracy: 58.59375
