LD=64
Using: cuda
Epoch 1/400 | G_loss: 2.87287 | D_loss: 0.80823 | D_real_acc: 93.56% | D_fake_acc: 98.62% | Class_acc: 98.69%
Epoch 2/400 | G_loss: 2.65913 | D_loss: 0.88248 | D_real_acc: 90.44% | D_fake_acc: 98.44% | Class_acc: 97.12%
Epoch 3/400 | G_loss: 1.82498 | D_loss: 0.55422 | D_real_acc: 98.94% | D_fake_acc: 100.00% | Class_acc: 99.44%
Epoch 4/400 | G_loss: 2.55239 | D_loss: 0.71862 | D_real_acc: 91.81% | D_fake_acc: 97.31% | Class_acc: 99.44%
Epoch 5/400 | G_loss: 1.82918 | D_loss: 0.56390 | D_real_acc: 95.81% | D_fake_acc: 100.00% | Class_acc: 99.44%
Epoch 6/400 | G_loss: 1.80551 | D_loss: 0.55073 | D_real_acc: 95.06% | D_fake_acc: 100.00% | Class_acc: 99.69%
Epoch 7/400 | G_loss: 1.74420 | D_loss: 0.53857 | D_real_acc: 96.81% | D_fake_acc: 100.00% | Class_acc: 99.62%
Epoch 8/400 | G_loss: 2.02529 | D_loss: 0.55238 | D_real_acc: 96.00% | D_fake_acc: 100.00% | Class_acc: 99.69%
Epoch 9/400 | G_loss: 1.88371 | D_loss: 0.59687 | D_real_acc: 88.69% | D_fake_acc: 96.00% | Class_acc: 99.81%
Epoch 10/400 | G_loss: 1.74291 | D_loss: 0.56476 | D_real_acc: 91.50% | D_fake_acc: 100.00% | Class_acc: 99.75%
Epoch 11/400 | G_loss: 1.82642 | D_loss: 0.58259 | D_real_acc: 87.50% | D_fake_acc: 99.50% | Class_acc: 99.81%
Epoch 12/400 | G_loss: 1.88867 | D_loss: 0.60922 | D_real_acc: 82.19% | D_fake_acc: 95.19% | Class_acc: 99.88%
Epoch 13/400 | G_loss: 1.62759 | D_loss: 0.55247 | D_real_acc: 91.88% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 14/400 | G_loss: 1.79685 | D_loss: 0.62847 | D_real_acc: 81.00% | D_fake_acc: 89.88% | Class_acc: 99.88%
Epoch 15/400 | G_loss: 1.73063 | D_loss: 0.58648 | D_real_acc: 87.44% | D_fake_acc: 97.75% | Class_acc: 99.88%
Epoch 16/400 | G_loss: 1.76859 | D_loss: 0.65820 | D_real_acc: 74.62% | D_fake_acc: 94.94% | Class_acc: 99.88%
Epoch 17/400 | G_loss: 2.17604 | D_loss: 0.75727 | D_real_acc: 81.00% | D_fake_acc: 92.00% | Class_acc: 98.38%
Epoch 18/400 | G_loss: 1.98792 | D_loss: 0.63192 | D_real_acc: 75.94% | D_fake_acc: 100.00% | Class_acc: 99.69%
Epoch 19/400 | G_loss: 2.24422 | D_loss: 0.94109 | D_real_acc: 78.56% | D_fake_acc: 93.62% | Class_acc: 94.12%
Epoch 20/400 | G_loss: 1.93267 | D_loss: 0.75825 | D_real_acc: 74.12% | D_fake_acc: 100.00% | Class_acc: 96.00%
Epoch 21/400 | G_loss: 1.95296 | D_loss: 0.75672 | D_real_acc: 78.69% | D_fake_acc: 99.38% | Class_acc: 96.50%
Epoch 22/400 | G_loss: 2.04749 | D_loss: 0.78306 | D_real_acc: 79.31% | D_fake_acc: 97.75% | Class_acc: 96.50%
Epoch 23/400 | G_loss: 1.86617 | D_loss: 0.73665 | D_real_acc: 82.62% | D_fake_acc: 99.44% | Class_acc: 97.00%
Epoch 24/400 | G_loss: 1.73309 | D_loss: 0.66545 | D_real_acc: 83.12% | D_fake_acc: 100.00% | Class_acc: 96.69%
Epoch 25/400 | G_loss: 1.74670 | D_loss: 0.70876 | D_real_acc: 79.31% | D_fake_acc: 99.50% | Class_acc: 96.44%
Epoch 26/400 | G_loss: 1.67769 | D_loss: 0.68368 | D_real_acc: 69.56% | D_fake_acc: 99.56% | Class_acc: 98.00%
Epoch 27/400 | G_loss: 1.50278 | D_loss: 0.65628 | D_real_acc: 69.62% | D_fake_acc: 100.00% | Class_acc: 98.12%
Epoch 28/400 | G_loss: 1.97741 | D_loss: 0.92099 | D_real_acc: 72.62% | D_fake_acc: 99.81% | Class_acc: 97.19%
Epoch 29/400 | G_loss: 1.76949 | D_loss: 0.74898 | D_real_acc: 79.75% | D_fake_acc: 100.00% | Class_acc: 96.19%
Epoch 30/400 | G_loss: 1.53868 | D_loss: 0.62579 | D_real_acc: 78.19% | D_fake_acc: 100.00% | Class_acc: 99.31%
Epoch 31/400 | G_loss: 2.28569 | D_loss: 0.73635 | D_real_acc: 78.88% | D_fake_acc: 100.00% | Class_acc: 98.25%
Epoch 32/400 | G_loss: 1.67714 | D_loss: 0.61035 | D_real_acc: 82.25% | D_fake_acc: 100.00% | Class_acc: 99.44%
Epoch 33/400 | G_loss: 1.57429 | D_loss: 0.60466 | D_real_acc: 78.38% | D_fake_acc: 100.00% | Class_acc: 99.56%
Epoch 34/400 | G_loss: 1.64339 | D_loss: 0.61340 | D_real_acc: 81.88% | D_fake_acc: 99.38% | Class_acc: 99.38%
Epoch 35/400 | G_loss: 1.70795 | D_loss: 0.82759 | D_real_acc: 77.31% | D_fake_acc: 96.12% | Class_acc: 97.06%
Epoch 36/400 | G_loss: 1.51099 | D_loss: 0.64321 | D_real_acc: 85.06% | D_fake_acc: 99.94% | Class_acc: 98.19%
Epoch 37/400 | G_loss: 1.41621 | D_loss: 0.61273 | D_real_acc: 72.31% | D_fake_acc: 100.00% | Class_acc: 99.06%
Epoch 38/400 | G_loss: 1.69403 | D_loss: 0.69847 | D_real_acc: 75.38% | D_fake_acc: 98.44% | Class_acc: 96.94%
Epoch 39/400 | G_loss: 1.80879 | D_loss: 0.75723 | D_real_acc: 77.81% | D_fake_acc: 100.00% | Class_acc: 95.56%
Epoch 40/400 | G_loss: 1.59969 | D_loss: 0.67093 | D_real_acc: 83.75% | D_fake_acc: 99.94% | Class_acc: 97.75%
Epoch 41/400 | G_loss: 1.86937 | D_loss: 0.93029 | D_real_acc: 80.88% | D_fake_acc: 98.00% | Class_acc: 94.56%
Epoch 42/400 | G_loss: 1.88778 | D_loss: 0.91225 | D_real_acc: 79.31% | D_fake_acc: 99.25% | Class_acc: 95.75%
Epoch 43/400 | G_loss: 1.61157 | D_loss: 0.67773 | D_real_acc: 83.94% | D_fake_acc: 100.00% | Class_acc: 98.00%
Epoch 44/400 | G_loss: 1.47628 | D_loss: 0.69597 | D_real_acc: 81.69% | D_fake_acc: 100.00% | Class_acc: 97.69%
Epoch 45/400 | G_loss: 2.14112 | D_loss: 1.15495 | D_real_acc: 69.62% | D_fake_acc: 91.44% | Class_acc: 91.56%
Epoch 46/400 | G_loss: 1.57261 | D_loss: 0.94646 | D_real_acc: 73.12% | D_fake_acc: 100.00% | Class_acc: 91.69%
Epoch 47/400 | G_loss: 1.85706 | D_loss: 0.73639 | D_real_acc: 79.88% | D_fake_acc: 100.00% | Class_acc: 98.50%
Epoch 48/400 | G_loss: 1.94765 | D_loss: 0.70040 | D_real_acc: 79.31% | D_fake_acc: 100.00% | Class_acc: 96.38%
Epoch 49/400 | G_loss: 2.02333 | D_loss: 0.90163 | D_real_acc: 71.94% | D_fake_acc: 100.00% | Class_acc: 96.25%
Epoch 50/400 | G_loss: 1.62901 | D_loss: 0.71730 | D_real_acc: 68.25% | D_fake_acc: 100.00% | Class_acc: 97.31%
Epoch 51/400 | G_loss: 1.84690 | D_loss: 0.94828 | D_real_acc: 63.75% | D_fake_acc: 98.38% | Class_acc: 93.81%
Epoch 52/400 | G_loss: 1.52308 | D_loss: 0.76624 | D_real_acc: 67.62% | D_fake_acc: 98.75% | Class_acc: 93.94%
Epoch 53/400 | G_loss: 1.43785 | D_loss: 0.72150 | D_real_acc: 67.44% | D_fake_acc: 100.00% | Class_acc: 97.00%
Epoch 54/400 | G_loss: 1.30333 | D_loss: 0.62929 | D_real_acc: 70.44% | D_fake_acc: 100.00% | Class_acc: 99.69%
Epoch 55/400 | G_loss: 1.57334 | D_loss: 0.74786 | D_real_acc: 71.56% | D_fake_acc: 97.88% | Class_acc: 96.69%
Epoch 56/400 | G_loss: 1.62600 | D_loss: 0.82454 | D_real_acc: 74.75% | D_fake_acc: 100.00% | Class_acc: 97.12%
Epoch 57/400 | G_loss: 1.59675 | D_loss: 0.79143 | D_real_acc: 70.81% | D_fake_acc: 98.25% | Class_acc: 96.62%
Epoch 58/400 | G_loss: 1.64775 | D_loss: 0.80959 | D_real_acc: 70.62% | D_fake_acc: 100.00% | Class_acc: 95.62%
Epoch 59/400 | G_loss: 1.68449 | D_loss: 0.75961 | D_real_acc: 71.50% | D_fake_acc: 97.56% | Class_acc: 96.25%
Epoch 60/400 | G_loss: 1.55409 | D_loss: 0.87469 | D_real_acc: 75.94% | D_fake_acc: 100.00% | Class_acc: 94.56%
Epoch 61/400 | G_loss: 1.86160 | D_loss: 1.02293 | D_real_acc: 71.69% | D_fake_acc: 100.00% | Class_acc: 94.12%
Epoch 62/400 | G_loss: 1.77463 | D_loss: 1.07186 | D_real_acc: 80.06% | D_fake_acc: 100.00% | Class_acc: 94.12%
Epoch 63/400 | G_loss: 1.53931 | D_loss: 1.02796 | D_real_acc: 76.81% | D_fake_acc: 100.00% | Class_acc: 93.19%
Epoch 64/400 | G_loss: 1.33982 | D_loss: 0.70832 | D_real_acc: 74.38% | D_fake_acc: 100.00% | Class_acc: 95.94%
Epoch 65/400 | G_loss: 1.44593 | D_loss: 0.74138 | D_real_acc: 72.81% | D_fake_acc: 100.00% | Class_acc: 95.56%
Epoch 66/400 | G_loss: 1.43199 | D_loss: 0.75146 | D_real_acc: 75.94% | D_fake_acc: 100.00% | Class_acc: 95.44%
Epoch 67/400 | G_loss: 1.68349 | D_loss: 0.71356 | D_real_acc: 83.62% | D_fake_acc: 98.38% | Class_acc: 95.75%
Epoch 68/400 | G_loss: 4.14152 | D_loss: 2.34964 | D_real_acc: 71.94% | D_fake_acc: 98.12% | Class_acc: 97.06%
Epoch 69/400 | G_loss: 2.03762 | D_loss: 0.70016 | D_real_acc: 90.69% | D_fake_acc: 100.00% | Class_acc: 97.12%
Epoch 70/400 | G_loss: 2.56033 | D_loss: 0.59826 | D_real_acc: 90.12% | D_fake_acc: 100.00% | Class_acc: 99.50%
Epoch 71/400 | G_loss: 1.47945 | D_loss: 0.61588 | D_real_acc: 88.75% | D_fake_acc: 100.00% | Class_acc: 99.19%
Epoch 72/400 | G_loss: 1.36774 | D_loss: 0.64770 | D_real_acc: 81.62% | D_fake_acc: 100.00% | Class_acc: 97.94%
Epoch 73/400 | G_loss: 1.45211 | D_loss: 0.61487 | D_real_acc: 84.50% | D_fake_acc: 96.06% | Class_acc: 98.88%
Epoch 74/400 | G_loss: 1.47833 | D_loss: 0.63623 | D_real_acc: 82.38% | D_fake_acc: 100.00% | Class_acc: 98.69%
Epoch 75/400 | G_loss: 1.40106 | D_loss: 0.62548 | D_real_acc: 78.44% | D_fake_acc: 100.00% | Class_acc: 99.06%
Epoch 76/400 | G_loss: 1.39440 | D_loss: 0.67687 | D_real_acc: 76.62% | D_fake_acc: 100.00% | Class_acc: 96.00%
Epoch 77/400 | G_loss: 1.31341 | D_loss: 0.65498 | D_real_acc: 78.69% | D_fake_acc: 100.00% | Class_acc: 97.94%
Epoch 78/400 | G_loss: 1.32207 | D_loss: 0.62669 | D_real_acc: 84.56% | D_fake_acc: 100.00% | Class_acc: 99.19%
Epoch 79/400 | G_loss: 1.39634 | D_loss: 0.61860 | D_real_acc: 86.38% | D_fake_acc: 100.00% | Class_acc: 99.19%
Epoch 80/400 | G_loss: 1.55652 | D_loss: 0.75997 | D_real_acc: 79.81% | D_fake_acc: 100.00% | Class_acc: 91.94%
Epoch 81/400 | G_loss: 1.53124 | D_loss: 0.66600 | D_real_acc: 87.06% | D_fake_acc: 100.00% | Class_acc: 97.31%
Epoch 82/400 | G_loss: 1.58198 | D_loss: 0.67473 | D_real_acc: 88.38% | D_fake_acc: 100.00% | Class_acc: 98.62%
Epoch 83/400 | G_loss: 1.46693 | D_loss: 0.66733 | D_real_acc: 86.94% | D_fake_acc: 100.00% | Class_acc: 96.12%
Epoch 84/400 | G_loss: 1.54587 | D_loss: 0.70208 | D_real_acc: 85.38% | D_fake_acc: 98.81% | Class_acc: 94.88%
Epoch 85/400 | G_loss: 1.48175 | D_loss: 0.70660 | D_real_acc: 79.25% | D_fake_acc: 100.00% | Class_acc: 96.44%
Epoch 86/400 | G_loss: 1.44712 | D_loss: 0.64793 | D_real_acc: 85.12% | D_fake_acc: 100.00% | Class_acc: 98.12%
Epoch 87/400 | G_loss: 1.42445 | D_loss: 0.63929 | D_real_acc: 84.56% | D_fake_acc: 100.00% | Class_acc: 97.81%
Epoch 88/400 | G_loss: 1.52538 | D_loss: 0.63038 | D_real_acc: 86.25% | D_fake_acc: 100.00% | Class_acc: 98.12%
Epoch 89/400 | G_loss: 1.46332 | D_loss: 0.69461 | D_real_acc: 86.50% | D_fake_acc: 98.44% | Class_acc: 96.69%
Epoch 90/400 | G_loss: 1.44439 | D_loss: 0.61927 | D_real_acc: 90.06% | D_fake_acc: 100.00% | Class_acc: 97.69%
Epoch 91/400 | G_loss: 1.71466 | D_loss: 0.76967 | D_real_acc: 84.88% | D_fake_acc: 99.81% | Class_acc: 93.25%
Epoch 92/400 | G_loss: 1.58510 | D_loss: 0.71414 | D_real_acc: 82.00% | D_fake_acc: 100.00% | Class_acc: 94.50%
Epoch 93/400 | G_loss: 1.74742 | D_loss: 0.71349 | D_real_acc: 81.12% | D_fake_acc: 100.00% | Class_acc: 96.56%
Epoch 94/400 | G_loss: 1.97958 | D_loss: 1.00702 | D_real_acc: 78.81% | D_fake_acc: 98.44% | Class_acc: 91.06%
Epoch 95/400 | G_loss: 2.04173 | D_loss: 1.01090 | D_real_acc: 78.88% | D_fake_acc: 98.12% | Class_acc: 92.00%
Epoch 96/400 | G_loss: 1.64728 | D_loss: 0.80769 | D_real_acc: 76.75% | D_fake_acc: 100.00% | Class_acc: 94.75%
Epoch 97/400 | G_loss: 1.70409 | D_loss: 0.84875 | D_real_acc: 76.62% | D_fake_acc: 100.00% | Class_acc: 92.50%
Epoch 98/400 | G_loss: 1.82636 | D_loss: 0.90565 | D_real_acc: 71.00% | D_fake_acc: 97.88% | Class_acc: 92.50%
Epoch 99/400 | G_loss: 1.45358 | D_loss: 0.73083 | D_real_acc: 76.38% | D_fake_acc: 100.00% | Class_acc: 97.31%
Epoch 100/400 | G_loss: 1.49240 | D_loss: 1.03333 | D_real_acc: 62.81% | D_fake_acc: 98.06% | Class_acc: 86.88%
Epoch 101/400 | G_loss: 1.47505 | D_loss: 0.76715 | D_real_acc: 79.06% | D_fake_acc: 100.00% | Class_acc: 95.06%
Epoch 102/400 | G_loss: 1.56633 | D_loss: 0.84224 | D_real_acc: 75.00% | D_fake_acc: 96.19% | Class_acc: 92.44%
Epoch 103/400 | G_loss: 1.30159 | D_loss: 0.77017 | D_real_acc: 76.62% | D_fake_acc: 98.38% | Class_acc: 95.25%
Epoch 104/400 | G_loss: 1.45785 | D_loss: 0.82494 | D_real_acc: 74.75% | D_fake_acc: 98.56% | Class_acc: 93.69%
Epoch 105/400 | G_loss: 1.36139 | D_loss: 0.75120 | D_real_acc: 78.12% | D_fake_acc: 100.00% | Class_acc: 94.00%
Epoch 106/400 | G_loss: 1.28229 | D_loss: 0.78180 | D_real_acc: 70.62% | D_fake_acc: 98.44% | Class_acc: 94.19%
Epoch 107/400 | G_loss: 1.52012 | D_loss: 0.71491 | D_real_acc: 76.75% | D_fake_acc: 98.25% | Class_acc: 96.19%
Epoch 108/400 | G_loss: 1.66735 | D_loss: 0.63967 | D_real_acc: 82.25% | D_fake_acc: 100.00% | Class_acc: 99.75%
Epoch 109/400 | G_loss: 1.44066 | D_loss: 0.79734 | D_real_acc: 74.62% | D_fake_acc: 98.00% | Class_acc: 97.75%
Epoch 110/400 | G_loss: 1.49627 | D_loss: 0.66787 | D_real_acc: 78.94% | D_fake_acc: 98.38% | Class_acc: 99.12%
Epoch 111/400 | G_loss: 1.73727 | D_loss: 0.78641 | D_real_acc: 79.19% | D_fake_acc: 97.00% | Class_acc: 98.25%
Epoch 112/400 | G_loss: 5.12570 | D_loss: 2.78135 | D_real_acc: 77.81% | D_fake_acc: 97.75% | Class_acc: 94.19%
Epoch 113/400 | G_loss: 2.33234 | D_loss: 0.58390 | D_real_acc: 91.19% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 114/400 | G_loss: 1.63849 | D_loss: 0.61905 | D_real_acc: 85.81% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 115/400 | G_loss: 1.54683 | D_loss: 0.68179 | D_real_acc: 77.31% | D_fake_acc: 100.00% | Class_acc: 98.44%
