LD=4
Using: cuda
Epoch 1/200 | G_loss: 1.98007 | D_loss: 0.61808 | D_real_accuracy: 93.45703 | D_fake_accuracy: 92.87109
Epoch 2/200 | G_loss: 1.47079 | D_loss: 0.55812 | D_real_accuracy: 94.53125 | D_fake_accuracy: 93.75000
Epoch 3/200 | G_loss: 1.49459 | D_loss: 0.53284 | D_real_accuracy: 99.21875 | D_fake_accuracy: 96.58203
Epoch 4/200 | G_loss: 1.55094 | D_loss: 0.54841 | D_real_accuracy: 97.55859 | D_fake_accuracy: 98.24219
Epoch 5/200 | G_loss: 1.64088 | D_loss: 0.56473 | D_real_accuracy: 95.70312 | D_fake_accuracy: 91.30859
Epoch 6/200 | G_loss: 1.46464 | D_loss: 0.56778 | D_real_accuracy: 92.57812 | D_fake_accuracy: 97.07031
Epoch 7/200 | G_loss: 1.57235 | D_loss: 0.57206 | D_real_accuracy: 93.45703 | D_fake_accuracy: 91.01562
Epoch 8/200 | G_loss: 1.51095 | D_loss: 0.55205 | D_real_accuracy: 98.53516 | D_fake_accuracy: 95.99609
Epoch 9/200 | G_loss: 1.53004 | D_loss: 0.56564 | D_real_accuracy: 96.09375 | D_fake_accuracy: 94.23828
Epoch 10/200 | G_loss: 1.50872 | D_loss: 0.58213 | D_real_accuracy: 88.86719 | D_fake_accuracy: 94.14062
Epoch 11/200 | G_loss: 1.65018 | D_loss: 0.58738 | D_real_accuracy: 91.89453 | D_fake_accuracy: 89.35547
Epoch 12/200 | G_loss: 1.51597 | D_loss: 0.55564 | D_real_accuracy: 98.14453 | D_fake_accuracy: 93.94531
Epoch 13/200 | G_loss: 1.49924 | D_loss: 0.55546 | D_real_accuracy: 97.36328 | D_fake_accuracy: 94.04297
Epoch 14/200 | G_loss: 1.54057 | D_loss: 0.58427 | D_real_accuracy: 89.16016 | D_fake_accuracy: 88.57422
Epoch 15/200 | G_loss: 1.48593 | D_loss: 0.55560 | D_real_accuracy: 97.55859 | D_fake_accuracy: 93.84766
Epoch 16/200 | G_loss: 1.46258 | D_loss: 0.52954 | D_real_accuracy: 99.02344 | D_fake_accuracy: 97.07031
Epoch 17/200 | G_loss: 1.62006 | D_loss: 0.58160 | D_real_accuracy: 91.99219 | D_fake_accuracy: 91.69922
Epoch 18/200 | G_loss: 1.41887 | D_loss: 0.54093 | D_real_accuracy: 97.75391 | D_fake_accuracy: 96.77734
Epoch 19/200 | G_loss: 1.46735 | D_loss: 0.54945 | D_real_accuracy: 98.33984 | D_fake_accuracy: 95.41016
Epoch 20/200 | G_loss: 1.47359 | D_loss: 0.53328 | D_real_accuracy: 98.63281 | D_fake_accuracy: 96.77734
Epoch 21/200 | G_loss: 1.54635 | D_loss: 0.55542 | D_real_accuracy: 95.60547 | D_fake_accuracy: 95.89844
Epoch 22/200 | G_loss: 1.49229 | D_loss: 0.53244 | D_real_accuracy: 98.53516 | D_fake_accuracy: 97.94922
Epoch 23/200 | G_loss: 1.57057 | D_loss: 0.55673 | D_real_accuracy: 92.77344 | D_fake_accuracy: 95.01953
Epoch 24/200 | G_loss: 1.49972 | D_loss: 0.53952 | D_real_accuracy: 97.94922 | D_fake_accuracy: 97.16797
Epoch 25/200 | G_loss: 1.64935 | D_loss: 0.55597 | D_real_accuracy: 98.04688 | D_fake_accuracy: 92.87109
Epoch 26/200 | G_loss: 1.45403 | D_loss: 0.53262 | D_real_accuracy: 99.02344 | D_fake_accuracy: 98.04688
Epoch 27/200 | G_loss: 1.52278 | D_loss: 0.55151 | D_real_accuracy: 95.99609 | D_fake_accuracy: 95.21484
Epoch 28/200 | G_loss: 1.41999 | D_loss: 0.52024 | D_real_accuracy: 99.41406 | D_fake_accuracy: 99.12109
Epoch 29/200 | G_loss: 1.42814 | D_loss: 0.52497 | D_real_accuracy: 99.51172 | D_fake_accuracy: 98.82812
Epoch 30/200 | G_loss: 1.80234 | D_loss: 0.61648 | D_real_accuracy: 92.87109 | D_fake_accuracy: 87.40234
Epoch 31/200 | G_loss: 1.47814 | D_loss: 0.51620 | D_real_accuracy: 99.21875 | D_fake_accuracy: 99.60938
Epoch 32/200 | G_loss: 1.49606 | D_loss: 0.54680 | D_real_accuracy: 96.19141 | D_fake_accuracy: 96.77734
Epoch 33/200 | G_loss: 1.36288 | D_loss: 0.51779 | D_real_accuracy: 99.21875 | D_fake_accuracy: 100.00000
Epoch 34/200 | G_loss: 1.38490 | D_loss: 0.52920 | D_real_accuracy: 98.43750 | D_fake_accuracy: 97.94922
Epoch 35/200 | G_loss: 1.45349 | D_loss: 0.55711 | D_real_accuracy: 93.84766 | D_fake_accuracy: 92.77344
Epoch 36/200 | G_loss: 1.30501 | D_loss: 0.51789 | D_real_accuracy: 99.21875 | D_fake_accuracy: 100.00000
Epoch 37/200 | G_loss: 1.43533 | D_loss: 0.56320 | D_real_accuracy: 92.08984 | D_fake_accuracy: 93.45703
Epoch 38/200 | G_loss: 1.34733 | D_loss: 0.53169 | D_real_accuracy: 98.43750 | D_fake_accuracy: 99.31641
Epoch 39/200 | G_loss: 1.38869 | D_loss: 0.55084 | D_real_accuracy: 95.99609 | D_fake_accuracy: 94.92188
Epoch 40/200 | G_loss: 1.31754 | D_loss: 0.54354 | D_real_accuracy: 95.99609 | D_fake_accuracy: 95.99609
Epoch 41/200 | G_loss: 1.31512 | D_loss: 0.54666 | D_real_accuracy: 96.87500 | D_fake_accuracy: 97.26562
Epoch 42/200 | G_loss: 1.30703 | D_loss: 0.54147 | D_real_accuracy: 96.87500 | D_fake_accuracy: 96.97266
Epoch 43/200 | G_loss: 1.43562 | D_loss: 0.57862 | D_real_accuracy: 90.72266 | D_fake_accuracy: 94.33594
Epoch 44/200 | G_loss: 1.27226 | D_loss: 0.54313 | D_real_accuracy: 96.09375 | D_fake_accuracy: 97.16797
Epoch 45/200 | G_loss: 1.31478 | D_loss: 0.56297 | D_real_accuracy: 92.38281 | D_fake_accuracy: 95.70312
Epoch 46/200 | G_loss: 1.34485 | D_loss: 0.55623 | D_real_accuracy: 95.70312 | D_fake_accuracy: 94.92188
Epoch 47/200 | G_loss: 1.59904 | D_loss: 0.61657 | D_real_accuracy: 84.47266 | D_fake_accuracy: 84.86328
Epoch 48/200 | G_loss: 1.38514 | D_loss: 0.55598 | D_real_accuracy: 94.43359 | D_fake_accuracy: 94.33594
Epoch 49/200 | G_loss: 1.42368 | D_loss: 0.55503 | D_real_accuracy: 92.18750 | D_fake_accuracy: 95.99609
Epoch 50/200 | G_loss: 1.39746 | D_loss: 0.55685 | D_real_accuracy: 93.84766 | D_fake_accuracy: 92.48047
Epoch 51/200 | G_loss: 1.36525 | D_loss: 0.56419 | D_real_accuracy: 91.40625 | D_fake_accuracy: 90.62500
