LD=2
Using: cuda
Epoch 1/200 | G_loss: 2.08015 | D_loss: 0.66523 | D_real_accuracy: 92.87109 | D_fake_accuracy: 93.75000
Epoch 2/200 | G_loss: 1.61621 | D_loss: 0.53794 | D_real_accuracy: 99.12109 | D_fake_accuracy: 95.11719
Epoch 3/200 | G_loss: 1.66230 | D_loss: 0.58420 | D_real_accuracy: 93.26172 | D_fake_accuracy: 100.00000
Epoch 4/200 | G_loss: 2.15583 | D_loss: 0.62713 | D_real_accuracy: 91.50391 | D_fake_accuracy: 81.64062
Epoch 5/200 | G_loss: 2.07090 | D_loss: 0.64436 | D_real_accuracy: 91.30859 | D_fake_accuracy: 70.89844
Epoch 6/200 | G_loss: 1.74806 | D_loss: 0.57067 | D_real_accuracy: 97.55859 | D_fake_accuracy: 99.80469
Epoch 7/200 | G_loss: 1.64439 | D_loss: 0.54587 | D_real_accuracy: 98.82812 | D_fake_accuracy: 100.00000
Epoch 8/200 | G_loss: 1.68855 | D_loss: 0.54222 | D_real_accuracy: 98.53516 | D_fake_accuracy: 100.00000
Epoch 9/200 | G_loss: 2.27353 | D_loss: 0.66122 | D_real_accuracy: 87.79297 | D_fake_accuracy: 87.50000
Epoch 10/200 | G_loss: 1.59610 | D_loss: 0.54317 | D_real_accuracy: 98.53516 | D_fake_accuracy: 100.00000
Epoch 11/200 | G_loss: 1.74646 | D_loss: 0.57005 | D_real_accuracy: 94.33594 | D_fake_accuracy: 98.33984
Epoch 12/200 | G_loss: 1.55495 | D_loss: 0.53318 | D_real_accuracy: 99.02344 | D_fake_accuracy: 100.00000
Epoch 13/200 | G_loss: 1.60388 | D_loss: 0.55169 | D_real_accuracy: 96.48438 | D_fake_accuracy: 98.24219
Epoch 14/200 | G_loss: 1.55053 | D_loss: 0.54507 | D_real_accuracy: 98.33984 | D_fake_accuracy: 99.51172
Epoch 15/200 | G_loss: 1.86092 | D_loss: 0.63988 | D_real_accuracy: 83.98438 | D_fake_accuracy: 84.27734
Epoch 16/200 | G_loss: 1.45387 | D_loss: 0.53044 | D_real_accuracy: 98.33984 | D_fake_accuracy: 96.28906
Epoch 17/200 | G_loss: 1.87428 | D_loss: 0.61423 | D_real_accuracy: 90.23438 | D_fake_accuracy: 87.69531
Epoch 18/200 | G_loss: 1.58906 | D_loss: 0.58179 | D_real_accuracy: 93.35938 | D_fake_accuracy: 92.77344
Epoch 19/200 | G_loss: 1.50387 | D_loss: 0.57861 | D_real_accuracy: 91.69922 | D_fake_accuracy: 93.26172
Epoch 20/200 | G_loss: 1.45286 | D_loss: 0.56070 | D_real_accuracy: 92.48047 | D_fake_accuracy: 95.11719
Epoch 21/200 | G_loss: 1.45808 | D_loss: 0.58196 | D_real_accuracy: 91.40625 | D_fake_accuracy: 90.82031
Epoch 22/200 | G_loss: 1.59251 | D_loss: 0.59420 | D_real_accuracy: 90.03906 | D_fake_accuracy: 89.16016
Epoch 23/200 | G_loss: 1.61704 | D_loss: 0.59106 | D_real_accuracy: 87.10938 | D_fake_accuracy: 85.64453
Epoch 24/200 | G_loss: 1.49942 | D_loss: 0.59130 | D_real_accuracy: 88.67188 | D_fake_accuracy: 90.52734
Epoch 25/200 | G_loss: 1.61035 | D_loss: 0.58305 | D_real_accuracy: 92.08984 | D_fake_accuracy: 88.28125
Epoch 26/200 | G_loss: 1.61252 | D_loss: 0.60573 | D_real_accuracy: 87.79297 | D_fake_accuracy: 89.06250
Epoch 27/200 | G_loss: 1.44011 | D_loss: 0.56636 | D_real_accuracy: 92.08984 | D_fake_accuracy: 93.06641
Epoch 28/200 | G_loss: 1.37355 | D_loss: 0.55146 | D_real_accuracy: 95.99609 | D_fake_accuracy: 98.82812
Epoch 29/200 | G_loss: 1.39452 | D_loss: 0.57666 | D_real_accuracy: 89.35547 | D_fake_accuracy: 91.21094
Epoch 30/200 | G_loss: 1.44619 | D_loss: 0.57546 | D_real_accuracy: 91.50391 | D_fake_accuracy: 91.21094
Epoch 31/200 | G_loss: 1.40172 | D_loss: 0.58764 | D_real_accuracy: 88.08594 | D_fake_accuracy: 87.10938
Epoch 32/200 | G_loss: 1.29743 | D_loss: 0.56069 | D_real_accuracy: 90.72266 | D_fake_accuracy: 98.14453
Epoch 33/200 | G_loss: 1.40190 | D_loss: 0.58149 | D_real_accuracy: 88.08594 | D_fake_accuracy: 90.03906
Epoch 34/200 | G_loss: 1.29488 | D_loss: 0.54810 | D_real_accuracy: 94.82422 | D_fake_accuracy: 98.92578
Epoch 35/200 | G_loss: 1.35906 | D_loss: 0.55108 | D_real_accuracy: 93.26172 | D_fake_accuracy: 98.43750
Epoch 36/200 | G_loss: 1.33715 | D_loss: 0.54697 | D_real_accuracy: 94.33594 | D_fake_accuracy: 96.48438
Epoch 37/200 | G_loss: 1.34441 | D_loss: 0.57504 | D_real_accuracy: 92.08984 | D_fake_accuracy: 91.69922
Epoch 38/200 | G_loss: 1.45958 | D_loss: 0.59484 | D_real_accuracy: 85.64453 | D_fake_accuracy: 87.69531
Epoch 39/200 | G_loss: 1.31032 | D_loss: 0.56759 | D_real_accuracy: 92.96875 | D_fake_accuracy: 92.28516
Epoch 40/200 | G_loss: 1.31948 | D_loss: 0.57314 | D_real_accuracy: 92.18750 | D_fake_accuracy: 92.48047
Epoch 41/200 | G_loss: 1.28956 | D_loss: 0.54905 | D_real_accuracy: 96.97266 | D_fake_accuracy: 96.09375
Epoch 42/200 | G_loss: 1.27710 | D_loss: 0.55244 | D_real_accuracy: 91.99219 | D_fake_accuracy: 95.11719
Epoch 43/200 | G_loss: 1.73841 | D_loss: 0.61103 | D_real_accuracy: 89.55078 | D_fake_accuracy: 88.57422
Epoch 44/200 | G_loss: 1.39510 | D_loss: 0.57849 | D_real_accuracy: 90.91797 | D_fake_accuracy: 91.69922
Epoch 45/200 | G_loss: 1.38641 | D_loss: 0.56923 | D_real_accuracy: 92.18750 | D_fake_accuracy: 93.45703
Epoch 46/200 | G_loss: 1.29308 | D_loss: 0.54773 | D_real_accuracy: 94.62891 | D_fake_accuracy: 97.26562
Epoch 47/200 | G_loss: 1.22066 | D_loss: 0.54852 | D_real_accuracy: 95.80078 | D_fake_accuracy: 99.12109
Epoch 48/200 | G_loss: 1.25030 | D_loss: 0.54529 | D_real_accuracy: 96.58203 | D_fake_accuracy: 98.73047
Epoch 49/200 | G_loss: 1.23433 | D_loss: 0.54109 | D_real_accuracy: 98.04688 | D_fake_accuracy: 96.97266
Epoch 50/200 | G_loss: 1.30716 | D_loss: 0.59576 | D_real_accuracy: 86.32812 | D_fake_accuracy: 90.23438
Epoch 51/200 | G_loss: 1.23585 | D_loss: 0.55590 | D_real_accuracy: 94.04297 | D_fake_accuracy: 96.19141
Epoch 52/200 | G_loss: 1.27635 | D_loss: 0.57795 | D_real_accuracy: 91.79688 | D_fake_accuracy: 91.01562
Epoch 53/200 | G_loss: 1.33875 | D_loss: 0.58515 | D_real_accuracy: 91.69922 | D_fake_accuracy: 91.60156
Epoch 54/200 | G_loss: 1.25013 | D_loss: 0.54279 | D_real_accuracy: 97.07031 | D_fake_accuracy: 99.51172
Epoch 55/200 | G_loss: 1.29255 | D_loss: 0.55974 | D_real_accuracy: 94.62891 | D_fake_accuracy: 94.43359
Epoch 56/200 | G_loss: 1.20996 | D_loss: 0.54463 | D_real_accuracy: 97.26562 | D_fake_accuracy: 99.80469
Epoch 57/200 | G_loss: 1.28191 | D_loss: 0.57333 | D_real_accuracy: 91.79688 | D_fake_accuracy: 92.18750
Epoch 58/200 | G_loss: 1.29521 | D_loss: 0.56475 | D_real_accuracy: 95.41016 | D_fake_accuracy: 89.25781
Epoch 59/200 | G_loss: 1.26562 | D_loss: 0.55776 | D_real_accuracy: 94.62891 | D_fake_accuracy: 95.80078
Epoch 60/200 | G_loss: 1.28972 | D_loss: 0.57791 | D_real_accuracy: 89.16016 | D_fake_accuracy: 88.96484
Epoch 61/200 | G_loss: 1.25604 | D_loss: 0.56551 | D_real_accuracy: 94.23828 | D_fake_accuracy: 93.35938
Epoch 62/200 | G_loss: 1.24117 | D_loss: 0.56961 | D_real_accuracy: 92.87109 | D_fake_accuracy: 89.45312
Epoch 63/200 | G_loss: 1.28582 | D_loss: 0.58563 | D_real_accuracy: 90.33203 | D_fake_accuracy: 88.37891
Epoch 64/200 | G_loss: 1.33813 | D_loss: 0.57685 | D_real_accuracy: 91.79688 | D_fake_accuracy: 93.26172
Epoch 65/200 | G_loss: 1.29873 | D_loss: 0.56467 | D_real_accuracy: 93.16406 | D_fake_accuracy: 92.08984
Epoch 66/200 | G_loss: 1.28083 | D_loss: 0.58109 | D_real_accuracy: 90.13672 | D_fake_accuracy: 91.99219
Epoch 67/200 | G_loss: 1.28943 | D_loss: 0.56706 | D_real_accuracy: 91.99219 | D_fake_accuracy: 93.45703
Epoch 68/200 | G_loss: 1.26983 | D_loss: 0.58559 | D_real_accuracy: 86.32812 | D_fake_accuracy: 87.10938
Epoch 69/200 | G_loss: 1.28607 | D_loss: 0.57643 | D_real_accuracy: 88.28125 | D_fake_accuracy: 91.69922
Epoch 70/200 | G_loss: 1.29881 | D_loss: 0.58763 | D_real_accuracy: 89.16016 | D_fake_accuracy: 87.40234
Epoch 71/200 | G_loss: 1.21856 | D_loss: 0.56702 | D_real_accuracy: 93.45703 | D_fake_accuracy: 95.41016
Epoch 72/200 | G_loss: 1.30454 | D_loss: 0.58563 | D_real_accuracy: 87.69531 | D_fake_accuracy: 89.84375
Epoch 73/200 | G_loss: 1.35131 | D_loss: 0.59678 | D_real_accuracy: 86.03516 | D_fake_accuracy: 87.01172
Epoch 74/200 | G_loss: 1.24943 | D_loss: 0.56580 | D_real_accuracy: 93.75000 | D_fake_accuracy: 94.14062
Epoch 75/200 | G_loss: 1.31777 | D_loss: 0.59464 | D_real_accuracy: 85.44922 | D_fake_accuracy: 89.94141
Epoch 76/200 | G_loss: 1.24298 | D_loss: 0.58691 | D_real_accuracy: 84.96094 | D_fake_accuracy: 89.25781
Epoch 77/200 | G_loss: 1.37770 | D_loss: 0.59457 | D_real_accuracy: 84.27734 | D_fake_accuracy: 88.18359
Epoch 78/200 | G_loss: 1.23787 | D_loss: 0.58540 | D_real_accuracy: 87.10938 | D_fake_accuracy: 90.13672
Epoch 79/200 | G_loss: 1.26112 | D_loss: 0.57687 | D_real_accuracy: 90.13672 | D_fake_accuracy: 95.41016
Epoch 80/200 | G_loss: 1.20637 | D_loss: 0.61372 | D_real_accuracy: 86.32812 | D_fake_accuracy: 89.64844
Epoch 81/200 | G_loss: 1.27523 | D_loss: 0.60269 | D_real_accuracy: 88.76953 | D_fake_accuracy: 88.47656
Epoch 82/200 | G_loss: 1.20855 | D_loss: 0.61253 | D_real_accuracy: 84.47266 | D_fake_accuracy: 90.03906
Epoch 83/200 | G_loss: 1.26628 | D_loss: 0.59310 | D_real_accuracy: 91.21094 | D_fake_accuracy: 90.91797
Epoch 84/200 | G_loss: 1.19602 | D_loss: 0.61071 | D_real_accuracy: 86.81641 | D_fake_accuracy: 90.33203
Epoch 85/200 | G_loss: 1.25120 | D_loss: 0.61052 | D_real_accuracy: 88.57422 | D_fake_accuracy: 91.40625
Epoch 86/200 | G_loss: 1.22023 | D_loss: 0.61898 | D_real_accuracy: 86.91406 | D_fake_accuracy: 88.96484
Epoch 87/200 | G_loss: 1.34236 | D_loss: 0.61809 | D_real_accuracy: 86.52344 | D_fake_accuracy: 89.35547
Epoch 88/200 | G_loss: 1.18113 | D_loss: 0.60711 | D_real_accuracy: 87.89062 | D_fake_accuracy: 89.55078
Epoch 89/200 | G_loss: 1.29142 | D_loss: 0.61120 | D_real_accuracy: 86.52344 | D_fake_accuracy: 89.25781
Epoch 90/200 | G_loss: 1.23641 | D_loss: 0.59961 | D_real_accuracy: 90.82031 | D_fake_accuracy: 88.86719
Epoch 91/200 | G_loss: 1.26390 | D_loss: 0.61414 | D_real_accuracy: 83.30078 | D_fake_accuracy: 84.76562
Epoch 92/200 | G_loss: 1.31564 | D_loss: 0.62384 | D_real_accuracy: 84.86328 | D_fake_accuracy: 82.22656
Epoch 93/200 | G_loss: 1.25171 | D_loss: 0.62176 | D_real_accuracy: 86.62109 | D_fake_accuracy: 86.03516
Epoch 94/200 | G_loss: 1.31046 | D_loss: 0.62784 | D_real_accuracy: 85.83984 | D_fake_accuracy: 83.78906
Epoch 95/200 | G_loss: 1.17454 | D_loss: 0.59818 | D_real_accuracy: 87.89062 | D_fake_accuracy: 87.50000
Epoch 96/200 | G_loss: 1.19517 | D_loss: 0.60316 | D_real_accuracy: 88.08594 | D_fake_accuracy: 88.37891
Epoch 97/200 | G_loss: 1.22503 | D_loss: 0.60517 | D_real_accuracy: 88.57422 | D_fake_accuracy: 86.81641
Epoch 98/200 | G_loss: 1.18520 | D_loss: 0.57965 | D_real_accuracy: 91.69922 | D_fake_accuracy: 93.94531
Epoch 99/200 | G_loss: 1.21199 | D_loss: 0.60759 | D_real_accuracy: 87.98828 | D_fake_accuracy: 86.03516
