LD=64
Using: cuda
Epoch 1/400 | G_loss: 1.56618 | D_loss: 0.52704 | D_real_accuracy: 99.46289 | D_fake_accuracy: 96.63086
Epoch 2/400 | G_loss: 1.42288 | D_loss: 0.51408 | D_real_accuracy: 99.41406 | D_fake_accuracy: 96.87500
Epoch 3/400 | G_loss: 1.40357 | D_loss: 0.51209 | D_real_accuracy: 99.41406 | D_fake_accuracy: 100.00000
Epoch 4/400 | G_loss: 1.48359 | D_loss: 0.51695 | D_real_accuracy: 99.12109 | D_fake_accuracy: 100.00000
Epoch 5/400 | G_loss: 1.38289 | D_loss: 0.50665 | D_real_accuracy: 99.60938 | D_fake_accuracy: 100.00000
Epoch 6/400 | G_loss: 1.47758 | D_loss: 0.54182 | D_real_accuracy: 96.24023 | D_fake_accuracy: 96.87500
Epoch 7/400 | G_loss: 1.37850 | D_loss: 0.50294 | D_real_accuracy: 99.60938 | D_fake_accuracy: 100.00000
Epoch 8/400 | G_loss: 1.53735 | D_loss: 0.54429 | D_real_accuracy: 96.28906 | D_fake_accuracy: 96.87500
Epoch 9/400 | G_loss: 1.35770 | D_loss: 0.52081 | D_real_accuracy: 99.21875 | D_fake_accuracy: 96.87500
Epoch 10/400 | G_loss: 1.43817 | D_loss: 0.52698 | D_real_accuracy: 97.11914 | D_fake_accuracy: 99.41406
Epoch 11/400 | G_loss: 1.48945 | D_loss: 0.56903 | D_real_accuracy: 90.57617 | D_fake_accuracy: 93.70117
Epoch 12/400 | G_loss: 1.37736 | D_loss: 0.52994 | D_real_accuracy: 96.72852 | D_fake_accuracy: 100.00000
Epoch 13/400 | G_loss: 1.24608 | D_loss: 0.52831 | D_real_accuracy: 95.45898 | D_fake_accuracy: 100.00000
Epoch 14/400 | G_loss: 1.26961 | D_loss: 0.52882 | D_real_accuracy: 96.48438 | D_fake_accuracy: 100.00000
Epoch 15/400 | G_loss: 1.62720 | D_loss: 0.66292 | D_real_accuracy: 76.22070 | D_fake_accuracy: 82.71484
Epoch 16/400 | G_loss: 1.36902 | D_loss: 0.68288 | D_real_accuracy: 56.34766 | D_fake_accuracy: 73.87695
Epoch 17/400 | G_loss: 1.40668 | D_loss: 0.74163 | D_real_accuracy: 52.49023 | D_fake_accuracy: 68.21289
Epoch 18/400 | G_loss: 1.18935 | D_loss: 0.70435 | D_real_accuracy: 53.85742 | D_fake_accuracy: 73.73047
Epoch 19/400 | G_loss: 1.10453 | D_loss: 0.68828 | D_real_accuracy: 64.74609 | D_fake_accuracy: 80.02930
Epoch 20/400 | G_loss: 1.08510 | D_loss: 0.67124 | D_real_accuracy: 65.57617 | D_fake_accuracy: 83.49609
Epoch 21/400 | G_loss: 1.03591 | D_loss: 0.67831 | D_real_accuracy: 63.08594 | D_fake_accuracy: 84.27734
Epoch 22/400 | G_loss: 0.98001 | D_loss: 0.66875 | D_real_accuracy: 64.40430 | D_fake_accuracy: 81.98242
Epoch 23/400 | G_loss: 0.95908 | D_loss: 0.66997 | D_real_accuracy: 65.86914 | D_fake_accuracy: 84.66797
Epoch 24/400 | G_loss: 0.93431 | D_loss: 0.66978 | D_real_accuracy: 68.31055 | D_fake_accuracy: 76.95312
Epoch 25/400 | G_loss: 0.95122 | D_loss: 0.68973 | D_real_accuracy: 57.76367 | D_fake_accuracy: 71.09375
Epoch 26/400 | G_loss: 0.92567 | D_loss: 0.68551 | D_real_accuracy: 60.74219 | D_fake_accuracy: 73.92578
Epoch 27/400 | G_loss: 0.91873 | D_loss: 0.69567 | D_real_accuracy: 57.76367 | D_fake_accuracy: 65.86914
Epoch 28/400 | G_loss: 0.89147 | D_loss: 0.69596 | D_real_accuracy: 58.39844 | D_fake_accuracy: 64.16016
Epoch 29/400 | G_loss: 0.88294 | D_loss: 0.70941 | D_real_accuracy: 48.33984 | D_fake_accuracy: 58.69141
Epoch 30/400 | G_loss: 0.88575 | D_loss: 0.71960 | D_real_accuracy: 49.02344 | D_fake_accuracy: 47.41211
Epoch 31/400 | G_loss: 0.85568 | D_loss: 0.72342 | D_real_accuracy: 45.45898 | D_fake_accuracy: 34.91211
Epoch 32/400 | G_loss: 0.86151 | D_loss: 0.72991 | D_real_accuracy: 44.09180 | D_fake_accuracy: 43.75000
Epoch 33/400 | G_loss: 0.82008 | D_loss: 0.72480 | D_real_accuracy: 56.20117 | D_fake_accuracy: 35.64453
Epoch 34/400 | G_loss: 0.81253 | D_loss: 0.71037 | D_real_accuracy: 54.15039 | D_fake_accuracy: 39.40430
Epoch 35/400 | G_loss: 0.80253 | D_loss: 0.73792 | D_real_accuracy: 37.74414 | D_fake_accuracy: 27.63672
Epoch 36/400 | G_loss: 0.92426 | D_loss: 0.79345 | D_real_accuracy: 29.88281 | D_fake_accuracy: 25.63477
Epoch 37/400 | G_loss: 0.96441 | D_loss: 0.75247 | D_real_accuracy: 36.03516 | D_fake_accuracy: 36.47461
Epoch 38/400 | G_loss: 0.82705 | D_loss: 0.77068 | D_real_accuracy: 38.47656 | D_fake_accuracy: 7.42188
Epoch 39/400 | G_loss: 0.74704 | D_loss: 0.71816 | D_real_accuracy: 52.05078 | D_fake_accuracy: 30.85938
Epoch 40/400 | G_loss: 0.77757 | D_loss: 0.73534 | D_real_accuracy: 44.18945 | D_fake_accuracy: 36.86523
Epoch 41/400 | G_loss: 0.79225 | D_loss: 0.73824 | D_real_accuracy: 50.43945 | D_fake_accuracy: 24.60938
Epoch 42/400 | G_loss: 0.78623 | D_loss: 0.72155 | D_real_accuracy: 41.45508 | D_fake_accuracy: 50.48828
Epoch 43/400 | G_loss: 0.91372 | D_loss: 0.78362 | D_real_accuracy: 40.72266 | D_fake_accuracy: 40.18555
Epoch 44/400 | G_loss: 0.85720 | D_loss: 0.72150 | D_real_accuracy: 43.21289 | D_fake_accuracy: 56.93359
Epoch 45/400 | G_loss: 0.82333 | D_loss: 0.71281 | D_real_accuracy: 44.97070 | D_fake_accuracy: 44.43359
Epoch 46/400 | G_loss: 0.76166 | D_loss: 0.71025 | D_real_accuracy: 49.85352 | D_fake_accuracy: 35.25391
Epoch 47/400 | G_loss: 0.80005 | D_loss: 0.71794 | D_real_accuracy: 62.69531 | D_fake_accuracy: 41.94336
Epoch 48/400 | G_loss: 0.79115 | D_loss: 0.71022 | D_real_accuracy: 46.14258 | D_fake_accuracy: 59.52148
Epoch 49/400 | G_loss: 0.79884 | D_loss: 0.71130 | D_real_accuracy: 60.35156 | D_fake_accuracy: 48.43750
Epoch 50/400 | G_loss: 0.81144 | D_loss: 0.70190 | D_real_accuracy: 50.14648 | D_fake_accuracy: 56.98242
Epoch 51/400 | G_loss: 0.86041 | D_loss: 0.76834 | D_real_accuracy: 35.30273 | D_fake_accuracy: 43.26172
Epoch 52/400 | G_loss: 0.89352 | D_loss: 0.73869 | D_real_accuracy: 42.13867 | D_fake_accuracy: 70.84961
Epoch 53/400 | G_loss: 0.95233 | D_loss: 0.74087 | D_real_accuracy: 36.52344 | D_fake_accuracy: 63.76953
Epoch 54/400 | G_loss: 0.97147 | D_loss: 0.73727 | D_real_accuracy: 48.29102 | D_fake_accuracy: 65.67383
Epoch 55/400 | G_loss: 0.82578 | D_loss: 0.74754 | D_real_accuracy: 46.28906 | D_fake_accuracy: 63.13477
Epoch 56/400 | G_loss: 0.85785 | D_loss: 0.69004 | D_real_accuracy: 46.04492 | D_fake_accuracy: 80.85938
Epoch 57/400 | G_loss: 0.93827 | D_loss: 0.72293 | D_real_accuracy: 53.61328 | D_fake_accuracy: 70.84961
Epoch 58/400 | G_loss: 0.81200 | D_loss: 0.68356 | D_real_accuracy: 62.10938 | D_fake_accuracy: 69.48242
Epoch 59/400 | G_loss: 0.77764 | D_loss: 0.68232 | D_real_accuracy: 56.83594 | D_fake_accuracy: 51.12305
Epoch 60/400 | G_loss: 0.77952 | D_loss: 0.67874 | D_real_accuracy: 58.59375 | D_fake_accuracy: 57.47070
Epoch 61/400 | G_loss: 0.78171 | D_loss: 0.66853 | D_real_accuracy: 61.57227 | D_fake_accuracy: 59.66797
Epoch 62/400 | G_loss: 0.81396 | D_loss: 0.68913 | D_real_accuracy: 56.39648 | D_fake_accuracy: 64.74609
Epoch 63/400 | G_loss: 0.79362 | D_loss: 0.70088 | D_real_accuracy: 56.68945 | D_fake_accuracy: 49.51172
Epoch 64/400 | G_loss: 0.83048 | D_loss: 0.67922 | D_real_accuracy: 55.32227 | D_fake_accuracy: 56.05469
Epoch 65/400 | G_loss: 0.82768 | D_loss: 0.71068 | D_real_accuracy: 48.33984 | D_fake_accuracy: 62.50000
Epoch 66/400 | G_loss: 0.91347 | D_loss: 0.72719 | D_real_accuracy: 47.70508 | D_fake_accuracy: 71.24023
Epoch 67/400 | G_loss: 0.86120 | D_loss: 0.68315 | D_real_accuracy: 52.92969 | D_fake_accuracy: 85.59570
Epoch 68/400 | G_loss: 0.86443 | D_loss: 0.68638 | D_real_accuracy: 37.98828 | D_fake_accuracy: 87.25586
Epoch 69/400 | G_loss: 0.86987 | D_loss: 0.67252 | D_real_accuracy: 45.94727 | D_fake_accuracy: 83.74023
Epoch 70/400 | G_loss: 0.88555 | D_loss: 0.68944 | D_real_accuracy: 47.50977 | D_fake_accuracy: 78.51562
Epoch 71/400 | G_loss: 0.77446 | D_loss: 0.70090 | D_real_accuracy: 61.32812 | D_fake_accuracy: 55.22461
Epoch 72/400 | G_loss: 0.77791 | D_loss: 0.70007 | D_real_accuracy: 60.93750 | D_fake_accuracy: 52.44141
Epoch 73/400 | G_loss: 0.80534 | D_loss: 0.71572 | D_real_accuracy: 48.14453 | D_fake_accuracy: 60.79102
Epoch 74/400 | G_loss: 0.82103 | D_loss: 0.69333 | D_real_accuracy: 59.13086 | D_fake_accuracy: 63.37891
Epoch 75/400 | G_loss: 0.80621 | D_loss: 0.66769 | D_real_accuracy: 61.37695 | D_fake_accuracy: 72.41211
Epoch 76/400 | G_loss: 0.89879 | D_loss: 0.68286 | D_real_accuracy: 60.30273 | D_fake_accuracy: 74.02344
Epoch 77/400 | G_loss: 0.82458 | D_loss: 0.70072 | D_real_accuracy: 61.66992 | D_fake_accuracy: 57.56836
Epoch 78/400 | G_loss: 0.80825 | D_loss: 0.66508 | D_real_accuracy: 66.99219 | D_fake_accuracy: 66.16211
Epoch 79/400 | G_loss: 0.79822 | D_loss: 0.65652 | D_real_accuracy: 65.18555 | D_fake_accuracy: 70.50781
Epoch 80/400 | G_loss: 0.81213 | D_loss: 0.63970 | D_real_accuracy: 73.33984 | D_fake_accuracy: 85.98633
Epoch 81/400 | G_loss: 0.83188 | D_loss: 0.72426 | D_real_accuracy: 53.71094 | D_fake_accuracy: 55.41992
Epoch 82/400 | G_loss: 0.84705 | D_loss: 0.71239 | D_real_accuracy: 41.69922 | D_fake_accuracy: 70.50781
Epoch 83/400 | G_loss: 0.86030 | D_loss: 0.66413 | D_real_accuracy: 51.36719 | D_fake_accuracy: 88.57422
Epoch 84/400 | G_loss: 0.87571 | D_loss: 0.64480 | D_real_accuracy: 57.76367 | D_fake_accuracy: 91.99219
Epoch 85/400 | G_loss: 0.79733 | D_loss: 0.71815 | D_real_accuracy: 52.05078 | D_fake_accuracy: 63.72070
Epoch 86/400 | G_loss: 0.76993 | D_loss: 0.70488 | D_real_accuracy: 62.06055 | D_fake_accuracy: 52.53906
Epoch 87/400 | G_loss: 0.79993 | D_loss: 0.70644 | D_real_accuracy: 60.20508 | D_fake_accuracy: 58.30078
Epoch 88/400 | G_loss: 0.81140 | D_loss: 0.72218 | D_real_accuracy: 46.38672 | D_fake_accuracy: 65.08789
Epoch 89/400 | G_loss: 0.80568 | D_loss: 0.71280 | D_real_accuracy: 47.50977 | D_fake_accuracy: 59.96094
Epoch 90/400 | G_loss: 0.81908 | D_loss: 0.71090 | D_real_accuracy: 44.58008 | D_fake_accuracy: 61.91406
Epoch 91/400 | G_loss: 0.79367 | D_loss: 0.71777 | D_real_accuracy: 52.63672 | D_fake_accuracy: 51.80664
Epoch 92/400 | G_loss: 0.80056 | D_loss: 0.70256 | D_real_accuracy: 53.56445 | D_fake_accuracy: 56.83594
Epoch 93/400 | G_loss: 0.80164 | D_loss: 0.70375 | D_real_accuracy: 53.56445 | D_fake_accuracy: 60.00977
Epoch 94/400 | G_loss: 0.81487 | D_loss: 0.71517 | D_real_accuracy: 50.14648 | D_fake_accuracy: 58.74023
Epoch 95/400 | G_loss: 0.82424 | D_loss: 0.70864 | D_real_accuracy: 45.36133 | D_fake_accuracy: 56.83594
Epoch 96/400 | G_loss: 0.81646 | D_loss: 0.70069 | D_real_accuracy: 53.41797 | D_fake_accuracy: 58.49609
Epoch 97/400 | G_loss: 0.80690 | D_loss: 0.68573 | D_real_accuracy: 59.42383 | D_fake_accuracy: 70.75195
Epoch 98/400 | G_loss: 0.82909 | D_loss: 0.71439 | D_real_accuracy: 51.80664 | D_fake_accuracy: 64.20898
Epoch 99/400 | G_loss: 0.86777 | D_loss: 0.71485 | D_real_accuracy: 57.86133 | D_fake_accuracy: 61.52344
Epoch 100/400 | G_loss: 0.98236 | D_loss: 0.75485 | D_real_accuracy: 58.34961 | D_fake_accuracy: 36.66992
Epoch 101/400 | G_loss: 0.73217 | D_loss: 0.75883 | D_real_accuracy: 54.15039 | D_fake_accuracy: 21.97266
Epoch 102/400 | G_loss: 0.76255 | D_loss: 0.68495 | D_real_accuracy: 66.55273 | D_fake_accuracy: 57.66602
Epoch 103/400 | G_loss: 0.80843 | D_loss: 0.66571 | D_real_accuracy: 66.25977 | D_fake_accuracy: 88.52539
Epoch 104/400 | G_loss: 0.80198 | D_loss: 0.64924 | D_real_accuracy: 74.07227 | D_fake_accuracy: 84.91211
Epoch 105/400 | G_loss: 0.83348 | D_loss: 0.69750 | D_real_accuracy: 57.61719 | D_fake_accuracy: 74.65820
Epoch 106/400 | G_loss: 0.98201 | D_loss: 0.72669 | D_real_accuracy: 65.42969 | D_fake_accuracy: 62.89062
Epoch 107/400 | G_loss: 0.86618 | D_loss: 0.71929 | D_real_accuracy: 57.71484 | D_fake_accuracy: 72.94922
Epoch 108/400 | G_loss: 0.82789 | D_loss: 0.67886 | D_real_accuracy: 58.54492 | D_fake_accuracy: 89.01367
Epoch 109/400 | G_loss: 0.87019 | D_loss: 0.70160 | D_real_accuracy: 42.87109 | D_fake_accuracy: 84.57031
Epoch 110/400 | G_loss: 1.00223 | D_loss: 0.71500 | D_real_accuracy: 68.11523 | D_fake_accuracy: 61.03516
Epoch 111/400 | G_loss: 0.79537 | D_loss: 0.73545 | D_real_accuracy: 53.56445 | D_fake_accuracy: 48.97461
Epoch 112/400 | G_loss: 0.72629 | D_loss: 0.74289 | D_real_accuracy: 39.50195 | D_fake_accuracy: 43.40820
Epoch 113/400 | G_loss: 0.72018 | D_loss: 0.72763 | D_real_accuracy: 49.95117 | D_fake_accuracy: 51.95312
Epoch 114/400 | G_loss: 0.72664 | D_loss: 0.71967 | D_real_accuracy: 44.53125 | D_fake_accuracy: 57.95898
Epoch 115/400 | G_loss: 0.72390 | D_loss: 0.71695 | D_real_accuracy: 38.91602 | D_fake_accuracy: 42.62695
Epoch 116/400 | G_loss: 0.71702 | D_loss: 0.71389 | D_real_accuracy: 42.91992 | D_fake_accuracy: 37.45117
Epoch 117/400 | G_loss: 0.72189 | D_loss: 0.71003 | D_real_accuracy: 47.80273 | D_fake_accuracy: 45.80078
Epoch 118/400 | G_loss: 0.72117 | D_loss: 0.70376 | D_real_accuracy: 51.22070 | D_fake_accuracy: 46.72852
Epoch 119/400 | G_loss: 0.72859 | D_loss: 0.70537 | D_real_accuracy: 50.09766 | D_fake_accuracy: 43.45703
Epoch 120/400 | G_loss: 0.72536 | D_loss: 0.70643 | D_real_accuracy: 53.95508 | D_fake_accuracy: 39.35547
Epoch 121/400 | G_loss: 0.72782 | D_loss: 0.70860 | D_real_accuracy: 53.32031 | D_fake_accuracy: 17.48047
Epoch 122/400 | G_loss: 0.72562 | D_loss: 0.70694 | D_real_accuracy: 54.24805 | D_fake_accuracy: 38.42773
Epoch 123/400 | G_loss: 0.73409 | D_loss: 0.70054 | D_real_accuracy: 59.32617 | D_fake_accuracy: 55.51758
Epoch 124/400 | G_loss: 0.73528 | D_loss: 0.70159 | D_real_accuracy: 58.39844 | D_fake_accuracy: 53.71094
Epoch 125/400 | G_loss: 0.74059 | D_loss: 0.70642 | D_real_accuracy: 51.36719 | D_fake_accuracy: 41.40625
Epoch 126/400 | G_loss: 0.73483 | D_loss: 0.70853 | D_real_accuracy: 51.26953 | D_fake_accuracy: 33.64258
Epoch 127/400 | G_loss: 0.73174 | D_loss: 0.70826 | D_real_accuracy: 54.49219 | D_fake_accuracy: 38.62305
Epoch 128/400 | G_loss: 0.73084 | D_loss: 0.70723 | D_real_accuracy: 41.74805 | D_fake_accuracy: 44.33594
Epoch 129/400 | G_loss: 0.72967 | D_loss: 0.70945 | D_real_accuracy: 42.57812 | D_fake_accuracy: 34.57031
Epoch 130/400 | G_loss: 0.72883 | D_loss: 0.71134 | D_real_accuracy: 39.16016 | D_fake_accuracy: 38.52539
Epoch 131/400 | G_loss: 0.72489 | D_loss: 0.71016 | D_real_accuracy: 32.51953 | D_fake_accuracy: 36.86523
Epoch 132/400 | G_loss: 0.72262 | D_loss: 0.70843 | D_real_accuracy: 46.67969 | D_fake_accuracy: 41.30859
Epoch 133/400 | G_loss: 0.71667 | D_loss: 0.71198 | D_real_accuracy: 42.38281 | D_fake_accuracy: 27.92969
Epoch 134/400 | G_loss: 0.71772 | D_loss: 0.70776 | D_real_accuracy: 38.37891 | D_fake_accuracy: 26.17188
Epoch 135/400 | G_loss: 0.71924 | D_loss: 0.71079 | D_real_accuracy: 37.45117 | D_fake_accuracy: 26.31836
Epoch 136/400 | G_loss: 0.71484 | D_loss: 0.70883 | D_real_accuracy: 39.74609 | D_fake_accuracy: 28.85742
Epoch 137/400 | G_loss: 0.72045 | D_loss: 0.70922 | D_real_accuracy: 33.69141 | D_fake_accuracy: 25.14648
Epoch 138/400 | G_loss: 0.71034 | D_loss: 0.71399 | D_real_accuracy: 31.64062 | D_fake_accuracy: 15.28320
Epoch 139/400 | G_loss: 0.70904 | D_loss: 0.71086 | D_real_accuracy: 37.79297 | D_fake_accuracy: 36.03516
Epoch 140/400 | G_loss: 0.70411 | D_loss: 0.71232 | D_real_accuracy: 32.17773 | D_fake_accuracy: 15.47852
Epoch 141/400 | G_loss: 0.70475 | D_loss: 0.71227 | D_real_accuracy: 35.44922 | D_fake_accuracy: 18.50586
Epoch 142/400 | G_loss: 0.70844 | D_loss: 0.71083 | D_real_accuracy: 30.27344 | D_fake_accuracy: 21.28906
Epoch 143/400 | G_loss: 0.70144 | D_loss: 0.71243 | D_real_accuracy: 39.89258 | D_fake_accuracy: 21.53320
Epoch 144/400 | G_loss: 0.70292 | D_loss: 0.70924 | D_real_accuracy: 36.03516 | D_fake_accuracy: 14.20898
Epoch 145/400 | G_loss: 0.70083 | D_loss: 0.71191 | D_real_accuracy: 36.37695 | D_fake_accuracy: 14.16016
Epoch 146/400 | G_loss: 0.70344 | D_loss: 0.71193 | D_real_accuracy: 31.68945 | D_fake_accuracy: 20.01953
Epoch 147/400 | G_loss: 0.69748 | D_loss: 0.70815 | D_real_accuracy: 39.74609 | D_fake_accuracy: 12.59766
Epoch 148/400 | G_loss: 0.69858 | D_loss: 0.70637 | D_real_accuracy: 42.52930 | D_fake_accuracy: 16.55273
Epoch 149/400 | G_loss: 0.69957 | D_loss: 0.70659 | D_real_accuracy: 38.67188 | D_fake_accuracy: 18.31055
Epoch 150/400 | G_loss: 0.70117 | D_loss: 0.70917 | D_real_accuracy: 35.79102 | D_fake_accuracy: 14.84375
Epoch 151/400 | G_loss: 0.69837 | D_loss: 0.70808 | D_real_accuracy: 31.20117 | D_fake_accuracy: 16.40625
Epoch 152/400 | G_loss: 0.69892 | D_loss: 0.70858 | D_real_accuracy: 31.64062 | D_fake_accuracy: 11.32812
Epoch 153/400 | G_loss: 0.70057 | D_loss: 0.70778 | D_real_accuracy: 39.74609 | D_fake_accuracy: 29.68750
Epoch 154/400 | G_loss: 0.70029 | D_loss: 0.70755 | D_real_accuracy: 26.80664 | D_fake_accuracy: 18.99414
Epoch 155/400 | G_loss: 0.69807 | D_loss: 0.70579 | D_real_accuracy: 37.45117 | D_fake_accuracy: 11.08398
Epoch 156/400 | G_loss: 0.70196 | D_loss: 0.70746 | D_real_accuracy: 29.93164 | D_fake_accuracy: 17.67578
Epoch 157/400 | G_loss: 0.69814 | D_loss: 0.70525 | D_real_accuracy: 38.47656 | D_fake_accuracy: 23.14453
Epoch 158/400 | G_loss: 0.77254 | D_loss: 0.68215 | D_real_accuracy: 41.79688 | D_fake_accuracy: 61.81641
Epoch 159/400 | G_loss: 0.84924 | D_loss: 0.62807 | D_real_accuracy: 58.83789 | D_fake_accuracy: 87.54883
Epoch 160/400 | G_loss: 0.92203 | D_loss: 0.62008 | D_real_accuracy: 66.60156 | D_fake_accuracy: 100.00000
Epoch 161/400 | G_loss: 0.89952 | D_loss: 0.59774 | D_real_accuracy: 78.32031 | D_fake_accuracy: 100.00000
Epoch 162/400 | G_loss: 1.05102 | D_loss: 0.55342 | D_real_accuracy: 93.55469 | D_fake_accuracy: 94.67773
Epoch 163/400 | G_loss: 1.01250 | D_loss: 0.70766 | D_real_accuracy: 52.09961 | D_fake_accuracy: 63.13477
Epoch 164/400 | G_loss: 0.90600 | D_loss: 0.65444 | D_real_accuracy: 58.44727 | D_fake_accuracy: 77.39258
Epoch 165/400 | G_loss: 0.88612 | D_loss: 0.67867 | D_real_accuracy: 72.07031 | D_fake_accuracy: 66.55273
Epoch 166/400 | G_loss: 0.86166 | D_loss: 0.66787 | D_real_accuracy: 64.94141 | D_fake_accuracy: 77.88086
Epoch 167/400 | G_loss: 0.91611 | D_loss: 0.65813 | D_real_accuracy: 68.01758 | D_fake_accuracy: 83.59375
Epoch 168/400 | G_loss: 1.14765 | D_loss: 0.65386 | D_real_accuracy: 66.11328 | D_fake_accuracy: 82.51953
Epoch 169/400 | G_loss: 0.97135 | D_loss: 0.61461 | D_real_accuracy: 83.78906 | D_fake_accuracy: 92.33398
Epoch 170/400 | G_loss: 0.92824 | D_loss: 0.62839 | D_real_accuracy: 79.39453 | D_fake_accuracy: 85.74219
Epoch 171/400 | G_loss: 0.92879 | D_loss: 0.62163 | D_real_accuracy: 76.90430 | D_fake_accuracy: 91.99219
Epoch 172/400 | G_loss: 0.92900 | D_loss: 0.63571 | D_real_accuracy: 73.92578 | D_fake_accuracy: 72.50977
Epoch 173/400 | G_loss: 0.96694 | D_loss: 0.65417 | D_real_accuracy: 72.94922 | D_fake_accuracy: 69.97070
